icd9,icd10,description
00802,A041,Intestinal infection due to enterotoxigenic E. coli
00803,A042,Intestinal infection due to enteroinvasive E. coli
00804,A043,Intestinal infection due to enterohemorrhagic E. coli
00809,A044,Intestinal infection due to other intestinal E. coli infections
0081,A048,Intestinal infection due to arizona group of paracolon bacilli
0082,A048,Intestinal infection due to aerobacter aerogenes
0083,A048,Intestinal infection due to proteus (mirabilis) (morganii)
00841,A048,Intestinal infection due to staphylococcus
00842,A048,Intestinal infection due to pseudomonas
00843,A045,Intestinal infection due to campylobacter
00844,A046,Intestinal infection due to yersinia enterocolitica
00845,A0471,Intestinal infection due to Clostridium difficile
00845,A0472,Intestinal infection due to Clostridium difficile
00846,A048,Intestinal infection due to other anaerobes
00847,A048,Intestinal infection due to other gram-negative bacteria
00849,A048,Intestinal infection due to other organisms
0085,A049,"Bacterial enteritis, unspecified"
00861,A080,Enteritis due to rotavirus
00862,A082,Enteritis due to adenovirus
00863,A0811,Enteritis due to norwalk virus
00864,A0819,Enteritis due to other small round viruses [SRV's]
00865,A0831,Enteritis due to calicivirus
00866,A0832,Enteritis due to astrovirus
00867,A0839,Enteritis due to enterovirus nec
00869,A0839,Enteritis due to other viral enteritis
0088,A088,"Intestinal infection due to other organism, not elsewhere classified"
0090,A09,"Infectious colitis, enteritis, and gastroenteritis"
0091,A09,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
0092,A09,Infectious diarrhea
0093,A09,Diarrhea of presumed infectious origin
01000,A157,"Primary tuberculous infection, unspecified"
01001,A157,"Primary tuberculous infection, bacteriological or histological examination not done"
01002,A157,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
01003,A157,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
01004,A157,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01005,A157,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01006,A157,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01010,A156,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
01011,A156,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
01012,A156,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01013,A156,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01014,A156,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01015,A156,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01016,A156,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01080,A157,"Other primary progressive tuberculosis, unspecified"
01081,A157,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
01082,A157,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01083,A157,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01084,A157,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01085,A157,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01086,A157,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01090,A157,"Primary tuberculous infection, unspecified, unspecified"
01091,A157,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
01092,A157,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
01093,A157,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
01094,A157,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01095,A157,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01096,A157,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01100,A150,"Tuberculosis of lung, infiltrative, unspecified"
01101,A150,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
01102,A150,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
01103,A150,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
01104,A150,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01105,A150,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01106,A150,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01110,A150,"Tuberculosis of lung, nodular, unspecified"
01111,A150,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
01112,A150,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
01113,A150,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
01114,A150,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01115,A150,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01116,A150,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01120,A150,"Tuberculosis of lung with cavitation, unspecified"
01121,A150,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
01122,A150,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
01123,A150,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
01124,A150,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01125,A150,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01126,A150,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01130,A155,"Tuberculosis of bronchus, unspecified"
01131,A155,"Tuberculosis of bronchus, bacteriological or histological examination not done"
01132,A155,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
01133,A155,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
01134,A155,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
01135,A155,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01136,A155,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01140,A150,"Tuberculous fibrosis of lung, unspecified"
01141,A150,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
01142,A150,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
01143,A150,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
01144,A150,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01145,A150,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01146,A150,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01150,A150,"Tuberculous bronchiectasis, unspecified"
01151,A150,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
01152,A150,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
01153,A150,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
01154,A150,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01155,A150,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01156,A150,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01160,A150,"Tuberculous pneumonia [any form], unspecified"
01161,A150,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
01162,A150,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
01163,A150,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
01164,A150,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01165,A150,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01166,A150,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01170,A150,"Tuberculous pneumothorax, unspecified"
01171,A150,"Tuberculous pneumothorax, bacteriological or histological examination not done"
01172,A150,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
01173,A150,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
01174,A150,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01175,A150,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01176,A150,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01180,A150,"Other specified pulmonary tuberculosis, unspecified"
01181,A150,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
01182,A150,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
01183,A150,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01184,A150,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01185,A150,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01186,A150,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01190,A150,"Pulmonary tuberculosis, unspecified, unspecified"
01191,A150,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
01192,A150,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
01193,A150,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
01194,A150,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01195,A150,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01196,A150,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01200,A156,"Tuberculous pleurisy, unspecified"
01201,A156,"Tuberculous pleurisy, bacteriological or histological examination not done"
01202,A156,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
01203,A156,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
01204,A156,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01205,A156,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01206,A156,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01210,A154,"Tuberculosis of intrathoracic lymph nodes, unspecified"
01211,A154,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
01212,A154,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
01213,A154,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
01214,A154,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01215,A154,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01216,A154,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01220,A155,"Isolated tracheal or bronchial tuberculosis, unspecified"
01221,A155,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
01222,A155,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
01223,A155,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01224,A155,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01225,A155,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01226,A155,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01230,A155,"Tuberculous laryngitis, unspecified"
01231,A155,"Tuberculous laryngitis, bacteriological or histological examination not done"
01232,A155,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
01233,A155,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
01234,A155,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01235,A155,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01236,A155,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01280,A158,"Other specified respiratory tuberculosis, unspecified"
01281,A158,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
01282,A158,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
01283,A158,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01284,A158,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01285,A158,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01286,A158,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01300,A170,"Tuberculous meningitis, unspecified"
01301,A170,"Tuberculous meningitis, bacteriological or histological examination not done"
01302,A170,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)"
01303,A170,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy"
01304,A170,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01305,A170,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01306,A170,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01310,A171,"Tuberculoma of meninges, unspecified"
01311,A171,"Tuberculoma of meninges, bacteriological or histological examination not done"
01312,A171,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)"
01313,A171,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy"
01314,A171,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01315,A171,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01316,A171,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01320,A1781,"Tuberculoma of brain, unspecified"
01321,A1781,"Tuberculoma of brain, bacteriological or histological examination not done"
01322,A1781,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)"
01323,A1781,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy"
01324,A1781,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01325,A1781,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01326,A1781,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01330,A1781,"Tuberculous abscess of brain, unspecified"
01331,A1781,"Tuberculous abscess of brain, bacteriological or histological examination not done"
01332,A1781,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)"
01333,A1781,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy"
01334,A1781,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01335,A1781,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01336,A1781,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01340,A1781,"Tuberculoma of spinal cord, unspecified"
01341,A1781,"Tuberculoma of spinal cord, bacteriological or histological examination not done"
01342,A1781,"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)"
01343,A1781,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
01344,A1781,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01345,A1781,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01346,A1781,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01350,A1781,"Tuberculous abscess of spinal cord, unspecified"
01351,A1781,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done"
01352,A1781,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)"
01353,A1781,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy"
01354,A1781,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01355,A1781,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01356,A1781,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01360,A1782,"Tuberculous encephalitis or myelitis, unspecified"
01361,A1782,"Tuberculous encephalitis or myelitis, bacteriological or histological examination not done"
01362,A1782,"Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)"
01363,A1782,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy"
01364,A1782,"Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01365,A1782,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01366,A1782,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01380,A1789,"Other specified tuberculosis of central nervous system, unspecified"
01381,A1789,"Other specified tuberculosis of central nervous system, bacteriological or histological examination not done"
01382,A1789,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
01383,A1789,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
01384,A1789,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01385,A1789,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01386,A1789,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01390,A179,"Unspecified tuberculosis of central nervous system, unspecified"
01391,A179,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done"
01392,A179,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
01393,A179,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
01394,A179,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01395,A179,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01396,A179,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01400,A1831,"Tuberculous peritonitis, unspecified"
01401,A1831,"Tuberculous peritonitis, bacteriological or histological examination not done"
01402,A1831,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
01403,A1831,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy"
01404,A1831,"Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01405,A1831,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01406,A1831,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01480,A1832,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified"
01480,A1839,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified"
01481,A1832,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
01481,A1839,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
01482,A1832,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)"
01482,A1839,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)"
01483,A1832,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy"
01483,A1839,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy"
01484,A1832,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01484,A1839,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01485,A1832,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01485,A1839,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01486,A1832,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01486,A1839,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01500,A1801,"Tuberculosis of vertebral column, unspecified"
01501,A1801,"Tuberculosis of vertebral column, bacteriological or histological examination not done"
01502,A1801,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)"
01503,A1801,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy"
01504,A1801,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01505,A1801,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01506,A1801,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01510,A1802,"Tuberculosis of hip, unspecified"
01511,A1802,"Tuberculosis of hip, bacteriological or histological examination not done"
01512,A1802,"Tuberculosis of hip, bacteriological or histological examination unknown (at present)"
01513,A1802,"Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy"
01514,A1802,"Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01515,A1802,"Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01516,A1802,"Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01520,A1802,"Tuberculosis of knee, unspecified"
01521,A1802,"Tuberculosis of knee, bacteriological or histological examination not done"
01522,A1802,"Tuberculosis of knee, bacteriological or histological examination unknown (at present)"
01523,A1802,"Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy"
01524,A1802,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01525,A1802,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01526,A1802,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01550,A1803,"Tuberculosis of limb bones, unspecified"
01551,A1803,"Tuberculosis of limb bones, bacteriological or histological examination not done"
01552,A1803,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)"
01553,A1803,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy"
01554,A1803,"Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01555,A1803,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01556,A1803,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01560,A1803,"Tuberculosis of mastoid, unspecified"
01561,A1803,"Tuberculosis of mastoid, bacteriological or histological examination not done"
01562,A1803,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)"
01563,A1803,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy"
01564,A1803,"Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01565,A1803,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01566,A1803,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01570,A1803,"Tuberculosis of other specified bone, unspecified"
01571,A1803,"Tuberculosis of other specified bone, bacteriological or histological examination not done"
01572,A1803,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)"
