sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1495,Midazolam,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025180700,708298,midazolam,Drug,MAPS_TO,,<auto>,1741025058104,
1632,Salmeterol/Fluticason,-1,,0.45,APPROVED,EQUIVALENT,Finn Fassbender,1744821407222,1137529,salmeterol,Drug,MAPS_TO,,Finn Fassbender,1744821389219,
1632,Salmeterol/Fluticason,-1,,0.45,APPROVED,EQUIVALENT,Finn Fassbender,1744821407222,1149380,fluticasone,Drug,MAPS_TO,,Finn Fassbender,1744821405836,
1969,"Tiotropium+Olodaterol 2,5/2,5",-1,,0.32,APPROVED,EQUIVALENT,Finn Fassbender,1744826107918,1106776,tiotropium,Drug,MAPS_TO,,Finn Fassbender,1744826102597,
1969,"Tiotropium+Olodaterol 2,5/2,5",-1,,0.32,APPROVED,EQUIVALENT,Finn Fassbender,1744826107918,45775116,olodaterol,Drug,MAPS_TO,,Finn Fassbender,1744826104630,
1454,Penicillin G,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025234408,1728416,penicillin G,Drug,MAPS_TO,,<auto>,1741025058441,
1614,ZzGlyceroltrinitrat,-1,,0.39,APPROVED,EQUAL,Finn Fassbender,1741025235446,1361711,nitroglycerin,Drug,MAPS_TO,,<auto>,1741025058513,
1717,Filgrastim,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025236707,1304850,filgrastim,Drug,MAPS_TO,,<auto>,1741025058805,
1588,Nicht gelistetes Gerinnungsmedikament,-1,,0.23,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1735,BUPivacain 0.5% hyperbar,-1,,0.49,APPROVED,EQUAL,Finn Fassbender,1744840048466,732893,bupivacaine,Drug,MAPS_TO,,Finn Fassbender,1744840047886,
1987,Schmerz,-1,,0.58,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1870,Thiamin+Pyridoxin+Cyanocobalamin,-1,,0.46,APPROVED,EQUIVALENT,Finn Fassbender,1744826155780,19137312,thiamine,Drug,MAPS_TO,,Finn Fassbender,1744826139372,
1870,Thiamin+Pyridoxin+Cyanocobalamin,-1,,0.46,APPROVED,EQUIVALENT,Finn Fassbender,1744826155780,19005046,pyridoxine,Drug,MAPS_TO,,Finn Fassbender,1744826145617,
1870,Thiamin+Pyridoxin+Cyanocobalamin,-1,,0.46,APPROVED,EQUIVALENT,Finn Fassbender,1744826155780,1308738,vitamin B12,Drug,MAPS_TO,,Finn Fassbender,1744826153720,
1846,Kalium jodid+Levothyroxin natrium,-1,,0.42,APPROVED,EQUIVALENT,Finn Fassbender,1744821706014,19049909,potassium iodide,Drug,MAPS_TO,,Finn Fassbender,1744821699354,
1846,Kalium jodid+Levothyroxin natrium,-1,,0.42,APPROVED,EQUIVALENT,Finn Fassbender,1744821706014,1501700,levothyroxine,Drug,MAPS_TO,,Finn Fassbender,1744821705437,
1620,Tirofiban,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025378802,19017067,tirofiban,Drug,MAPS_TO,,<auto>,1741025059227,
1670,Pentoxifyllin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025379403,1331247,pentoxifylline,Drug,MAPS_TO,,<auto>,1741025059322,
1541,Cetrimid und Carbopol,-1,,0.52,APPROVED,EQUIVALENT,Finn Fassbender,1744827154098,19007748,cetrimide,Drug,MAPS_TO,,<auto>,1741025059352,
1541,Cetrimid und Carbopol,-1,,0.52,APPROVED,EQUIVALENT,Finn Fassbender,1744827154098,19055217,carbomer,Drug,MAPS_TO,,Finn Fassbender,1744827153656,
1923,Enoxaparin therapeut.,-1,,0.61,APPROVED,EQUAL,Finn Fassbender,1741025388414,1301025,enoxaparin,Drug,MAPS_TO,,<auto>,1741025059358,
1655,Baclofen,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025388750,715233,baclofen,Drug,MAPS_TO,,<auto>,1741025059430,
1843,Milnacipran hydrochlorid,-1,,0.95,APPROVED,EQUAL,Finn Fassbender,1741025989583,19080226,milnacipran,Drug,MAPS_TO,,Finn Fassbender,1741025395728,
1973,Finasterid,-1,,0.96,APPROVED,EQUAL,Finn Fassbender,1741025989583,996416,finasteride,Drug,MAPS_TO,,<auto>,1741025059456,
1719,Scopolamin,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,965748,scopolamine,Drug,MAPS_TO,,<auto>,1741025059617,
1665,Tizanidin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,778474,tizanidine,Drug,MAPS_TO,,<auto>,1741025059815,
1990,Perampanel,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025400136,42904177,perampanel,Drug,MAPS_TO,,<auto>,1741025060262,
1517,Selen,-1,,0.70,APPROVED,EQUAL,Finn Fassbender,1741025441230,19066274,selenite,Drug,MAPS_TO,,<auto>,1741025060267,
1769,Cetylpyridinium,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025441577,989301,cetylpyridinium,Drug,MAPS_TO,,<auto>,1741025060293,
1516,Fisch,-1,,0.45,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1567,ZzIpratroprium und Salbutamol,-1,,0.38,APPROVED,EQUIVALENT,Finn Fassbender,1744826202941,1112921,ipratropium,Drug,MAPS_TO,,Finn Fassbender,1744826182584,
1567,ZzIpratroprium und Salbutamol,-1,,0.38,APPROVED,EQUIVALENT,Finn Fassbender,1744826202941,1154343,albuterol,Drug,MAPS_TO,,Finn Fassbender,1744826202339,
1560,Milrinon,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,1368671,milrinone,Drug,MAPS_TO,,<auto>,1741025060408,
1471,Kaliumcanrenoat,-1,,0.69,APPROVED,EQUAL,Finn Fassbender,1741025618431,19123864,canrenoate,Drug,MAPS_TO,,Finn Fassbender,1741025617472,
1754,Thiaminhydrochlorid,-1,,0.75,APPROVED,EQUIVALENT,Finn Fassbender,1741025674848,19137312,thiamine,Drug,MAPS_TO,,Finn Fassbender,1741025672083,
1799,Enterococcus SF 68,-1,,0.45,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1688,Tolterodin-L-tartrat,-1,,0.56,APPROVED,EQUIVALENT,Finn Fassbender,1744819857607,913782,tolterodine,Drug,MAPS_TO,,Finn Fassbender,1744819857105,
1762,Beclometason und Formeterol,-1,,0.55,APPROVED,EQUIVALENT,Finn Fassbender,1744821605700,1115572,beclomethasone,Drug,MAPS_TO,,<auto>,1741025060876,
1762,Beclometason und Formeterol,-1,,0.55,APPROVED,EQUIVALENT,Finn Fassbender,1744821605700,1196677,formoterol,Drug,MAPS_TO,,Finn Fassbender,1744821604696,
1776,Pethidin,-1,,0.67,APPROVED,EQUIVALENT,Finn Fassbender,1741025765672,1102527,meperidine,Drug,MAPS_TO,,Finn Fassbender,1741025762214,
1730,Sertralin,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025978877,739138,sertraline,Drug,MAPS_TO,,<auto>,1741025061072,
1601,Ephedrin,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,1143374,ephedrine,Drug,MAPS_TO,,<auto>,1741025061077,
1708,Minoxidil,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025913694,1309068,minoxidil,Drug,MAPS_TO,,<auto>,1741025061079,
1629,Nicht gelistetes Gerinnungsmedikament IU,-1,,0.22,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1721,Topiramat,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025989583,742267,topiramate,Drug,MAPS_TO,,<auto>,1741025061486,
1901,Thiethylperazin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025810323,1037358,thiethylperazine,Drug,MAPS_TO,,<auto>,1741025061537,
1899,Benzydamin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025936922,19019620,benzydamine,Drug,MAPS_TO,,<auto>,1741025061634,
1926,Kaliumchlorid,-1,,0.65,APPROVED,EQUAL,Finn Fassbender,1741025812298,19049105,potassium chloride,Drug,MAPS_TO,,Finn Fassbender,1741025784441,
1814,Flavonoidfraktion,-1,,0.44,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1424,Mirtazepin,-1,,0.72,APPROVED,EQUAL,Finn Fassbender,1741025816345,725131,mirtazapine,Drug,MAPS_TO,,Finn Fassbender,1741025790803,
1569,ZzIpratropriumbromid,-1,,0.42,APPROVED,EQUAL,Finn Fassbender,1741025831580,1112921,ipratropium,Drug,MAPS_TO,,Finn Fassbender,1741025831085,
1837,Cetylpyridinium chlorid 1-Wasser,-1,,0.64,APPROVED,EQUIVALENT,Finn Fassbender,1741025843418,989301,cetylpyridinium,Drug,MAPS_TO,,Finn Fassbender,1741025837613,
1704,Eplerenon,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025978877,1309799,eplerenone,Drug,MAPS_TO,,<auto>,1741025061841,
1881,Sevelamer,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025848463,952004,sevelamer,Drug,MAPS_TO,,<auto>,1741025061844,
1657,Phenprocoumon,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025849031,19035344,phenprocoumon,Drug,MAPS_TO,,<auto>,1741025061864,
1450,Torasemid,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025989583,942350,torsemide,Drug,MAPS_TO,,<auto>,1741025062092,
1959,Flecainid,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025978877,1354860,flecainide,Drug,MAPS_TO,,<auto>,1741025062177,
1617,Mivacurim,-1,,0.85,APPROVED,EQUAL,Finn Fassbender,1741025850690,19010459,mivacurium,Drug,MAPS_TO,,<auto>,1741025062509,
1977,Betamethason,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025851437,920458,betamethasone,Drug,MAPS_TO,,<auto>,1741025062528,
1757,Kybernin P,-1,,0.58,APPROVED,EQUIVALENT,Finn Fassbender,1744826524167,1436169,antithrombin III,Drug,MAPS_TO,,Finn Fassbender,1744826523490,
1573,Thiopentalnatrium,-1,,0.62,APPROVED,EQUIVALENT,Finn Fassbender,1741025862019,700253,thiopental,Drug,MAPS_TO,,<auto>,1741025062703,
1576,ZzIsofluran,-1,,0.60,APPROVED,EQUAL,Finn Fassbender,1741025874175,782043,isoflurane,Drug,MAPS_TO,,<auto>,1741025062715,
1593,Phenylephrin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,1135766,phenylephrine,Drug,MAPS_TO,,<auto>,1741025062789,
1683,Eprosartan,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025875269,1346686,eprosartan,Drug,MAPS_TO,,<auto>,1741025062843,
1828,Chlorhexamed,-1,,0.70,APPROVED,EQUIVALENT,Finn Fassbender,1744819763519,1790812,chlorhexidine,Drug,MAPS_TO,,Finn Fassbender,1744819761081,
1477,Tranexams,-1,,0.62,APPROVED,EQUAL,Finn Fassbender,1741025877539,1303425,tranexamic acid,Drug,MAPS_TO,,<auto>,1741025063096,
1436,Flucloxacillin,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025879560,19054936,floxacillin,Drug,MAPS_TO,,<auto>,1741025063158,
1946,Sevelamercarbonat,-1,,0.79,APPROVED,EQUIVALENT,Finn Fassbender,1744819606457,952004,sevelamer,Drug,MAPS_TO,,Finn Fassbender,1744819605533,
1792,Moclobemid,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,19010652,moclobemide,Drug,MAPS_TO,,<auto>,1741025063191,
1796,Bezafibrat,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,19022956,bezafibrate,Drug,MAPS_TO,,<auto>,1741025063239,
1487,ZzLactulose,-1,,0.54,APPROVED,EQUAL,Finn Fassbender,1741025882480,987245,lactulose,Drug,MAPS_TO,,<auto>,1741025063328,
1816,Tiaprid,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025989583,19008012,tiapride,Drug,MAPS_TO,,<auto>,1741025063340,
1478,Phenytoin,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025883703,740910,phenytoin,Drug,MAPS_TO,,<auto>,1741025063346,
2013,L-Carnitin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025885300,1553610,levocarnitine,Drug,MAPS_TO,,<auto>,1741025063382,
1585,Nicht gelistetes anderes Medikament,-1,,0.28,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1684,Eprosartan+HCT,-1,,0.45,APPROVED,EQUAL,Finn Fassbender,1741026672700,1346686,eprosartan,Drug,MAPS_TO,,<auto>,1741025063524,
1684,Eprosartan+HCT,-1,,0.45,APPROVED,EQUAL,Finn Fassbender,1741026672700,974166,hydrochlorothiazide,Drug,MAPS_TO,,Finn Fassbender,1741026654269,
1919,Chlorhexidin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,1790812,chlorhexidine,Drug,MAPS_TO,,<auto>,1741025063575,
1520,Morphin,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,1110410,morphine,Drug,MAPS_TO,,<auto>,1741025063579,
1465,Fluconazol,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025888271,1754994,fluconazole,Drug,MAPS_TO,,<auto>,1741025063612,
1624,ZzMagnesium,-1,,0.50,APPROVED,EQUAL,Finn Fassbender,1741025888785,19124906,magnesium,Drug,MAPS_TO,,<auto>,1741025063704,
1667,Trazodon ret,-1,,0.85,APPROVED,EQUAL,Finn Fassbender,1741025890193,703547,trazodone,Drug,MAPS_TO,,<auto>,1741025063783,
1798,Bicalutamid,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025989583,1344381,bicalutamide,Drug,MAPS_TO,,<auto>,1741025064129,
1998,L-Methionin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,19004724,methionine,Drug,MAPS_TO,,<auto>,1741025064220,
1515,Phytmenadion,-1,,0.66,APPROVED,EQUAL,Finn Fassbender,1741025897793,19044727,vitamin K1,Drug,MAPS_TO,,<auto>,1741025064257,
2142,Sevofluran (Anaconda),-1,,0.55,APPROVED,EQUAL,Finn Fassbender,1741025900062,19039298,sevoflurane,Drug,MAPS_TO,,<auto>,1741025064319,
1884,Chloroquin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025900797,1792515,chloroquine,Drug,MAPS_TO,,<auto>,1741025064336,
1800,Ticagrelor,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025901302,40241186,ticagrelor,Drug,MAPS_TO,,<auto>,1741025064366,
1948,Ertapenem,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025901667,1717963,ertapenem,Drug,MAPS_TO,,<auto>,1741025064377,
1488,ZzMagnesiumsulfat,-1,,0.51,APPROVED,EQUAL,Finn Fassbender,1741026802855,19093848,magnesium sulfate,Drug,MAPS_TO,,<auto>,1741025064462,
1896,Morphinsulfat,-1,,0.79,APPROVED,EQUIVALENT,Finn Fassbender,1744819610580,1110410,morphine,Drug,MAPS_TO,,Finn Fassbender,1744819610055,
1751,Fludrocortison,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,1555120,fludrocortisone,Drug,MAPS_TO,,<auto>,1741025064520,
1452,Triamteren,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025989583,904542,triamterene,Drug,MAPS_TO,,<auto>,1741025064534,
1470,Biperidin,-1,,0.82,APPROVED,EQUAL,Finn Fassbender,1741026324885,724908,biperiden,Drug,MAPS_TO,,<auto>,1741025064635,
1886,Sildenafil,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1316262,sildenafil,Drug,MAPS_TO,,<auto>,1741025064780,
1412,LEVOthyroxin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025936922,1501700,levothyroxine,Drug,MAPS_TO,,<auto>,1741025064843,
1431,Erythromycin,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1746940,erythromycin,Drug,MAPS_TO,,<auto>,1741025064958,
1693,Tigecyclin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025936922,1742432,tigecycline,Drug,MAPS_TO,,<auto>,1741025065043,
1413,Triazolam,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,704599,triazolam,Drug,MAPS_TO,,<auto>,1741025065136,
1722,Chlorprothixen,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,19095002,chlorprothixene,Drug,MAPS_TO,,<auto>,1741025065137,
1918,Methylenblau,-1,,0.63,APPROVED,EQUAL,Finn Fassbender,1741026863443,905518,methylene blue,Drug,MAPS_TO,,Finn Fassbender,1741026862668,
1538,Simeticon,-1,,0.68,APPROVED,EQUAL,Finn Fassbender,1741026748576,966991,simethicone,Drug,MAPS_TO,,<auto>,1741025065480,
1445,LORazepam,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,791967,lorazepam,Drug,MAPS_TO,,<auto>,1741025065543,
2006,Biperidin Ret.,-1,,0.50,APPROVED,EQUAL,Finn Fassbender,1741026806006,724908,biperiden,Drug,MAPS_TO,,<auto>,1741025065564,
1459,Piperacillin/Tazobactam,-1,,0.61,APPROVED,EQUIVALENT,Finn Fassbender,1744820054358,1746114,piperacillin,Drug,MAPS_TO,,Finn Fassbender,1744820050302,
1459,Piperacillin/Tazobactam,-1,,0.61,APPROVED,EQUIVALENT,Finn Fassbender,1744820054358,1741122,tazobactam,Drug,MAPS_TO,,Finn Fassbender,1744820052852,
1589,Nicht gelistetes orales Medikament,-1,,0.28,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1484,ZzNatrium- und Megluminanmidotrizoat,-1,,0.39,APPROVED,EQUIVALENT,Finn Fassbender,1744827011271,45775324,diatrizoic acid,Drug,MAPS_TO,,Finn Fassbender,1744827010763,
1986,Excicial Hydrocreme,-1,,0.31,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1633,Tiotropium,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1106776,tiotropium,Drug,MAPS_TO,,<auto>,1741025065913,
1607,Erythropoetin,-1,,0.67,APPROVED,EQUAL,Finn Fassbender,1741026830782,43009086,erythropoietin,Drug,MAPS_TO,,<auto>,1741025065952,
1777,Ciclesonid,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025978877,902938,ciclesonide,Drug,MAPS_TO,,<auto>,1741025065985,
1700,Rivastigmin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,733523,rivastigmine,Drug,MAPS_TO,,<auto>,1741025066102,
1940,Methylergometrin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025936922,1305637,methylergonovine,Drug,MAPS_TO,,<auto>,1741025066177,
1563,Argatroban,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1322207,argatroban,Drug,MAPS_TO,,<auto>,1741025066234,
1433,Trimethoprim/Sulfametoxazol,-1,,0.55,APPROVED,EQUIVALENT,Finn Fassbender,1744821082383,1705674,trimethoprim,Drug,MAPS_TO,,Finn Fassbender,1744821079881,
1433,Trimethoprim/Sulfametoxazol,-1,,0.55,APPROVED,EQUIVALENT,Finn Fassbender,1744821082383,1836430,sulfamethoxazole,Drug,MAPS_TO,,Finn Fassbender,1744821081301,
1505,Labetalol,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1386957,labetalol,Drug,MAPS_TO,,<auto>,1741025066255,
1872,Piracetam,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,19046654,piracetam,Drug,MAPS_TO,,<auto>,1741025066259,
1645,Escitalopram,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,715939,escitalopram,Drug,MAPS_TO,,<auto>,1741025066547,
1434,Ciclosporin,-1,,0.73,APPROVED,EQUIVALENT,Finn Fassbender,1744819747453,19010482,cyclosporine,Drug,MAPS_TO,,Finn Fassbender,1744819746741,
1555,"ZzNatriumchlorid 0,9%",-1,,0.37,APPROVED,EQUIVALENT,Finn Fassbender,1744822829693,967823,sodium chloride,Drug,MAPS_TO,,Finn Fassbender,1744822829078,
1916,Roflumilast,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,40236897,roflumilast,Drug,MAPS_TO,,<auto>,1741025066983,
1957,"Tiotropium Lsg 2,5",-1,,0.42,APPROVED,EQUAL,Finn Fassbender,1741026562554,1106776,tiotropium,Drug,MAPS_TO,,<auto>,1741025067038,
1641,Aripiprazol,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,757688,aripiprazole,Drug,MAPS_TO,,<auto>,1741025067051,
1823,Pirfenidon,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,45775206,pirfenidone,Drug,MAPS_TO,,<auto>,1741025067088,
1985,Excipial U Hydrolotio,-1,,0.27,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1840,Cilazapril,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,19050216,cilazapril,Drug,MAPS_TO,,<auto>,1741025067448,
1537,Methylnaltrexon,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,909841,methylnaltrexone,Drug,MAPS_TO,,<auto>,1741025067519,
1545,Trometamol,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,19006047,tromethamine,Drug,MAPS_TO,,<auto>,1741025067535,
2000,Eslicarbazepin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025926900,44507780,eslicarbazepine,Drug,MAPS_TO,,<auto>,1741025067648,
1718,Ropinirol,-1,,0.97,APPROVED,EQUAL,Finn Fassbender,1741025989583,713823,ropinirole,Drug,MAPS_TO,,<auto>,1741025067670,
1791,Atenolol,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1314002,atenolol,Drug,MAPS_TO,,<auto>,1741025067696,
1509,Terbutalin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,1236744,terbutaline,Drug,MAPS_TO,,<auto>,1741025067841,
1591,Nicht gelistetes sc Medikament IU,-1,,0.26,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
1565,ZzNatriumpicosulfat,-1,,0.39,APPROVED,EQUIVALENT,Finn Fassbender,1744826616540,45775584,picosulfurate,Drug,MAPS_TO,,Finn Fassbender,1744826616058,
1566,Ipratroprium und Fenoterol,-1,,0.54,APPROVED,EQUIVALENT,Finn Fassbender,1744821097361,1112921,ipratropium,Drug,MAPS_TO,,Finn Fassbender,1744821095487,
1566,Ipratroprium und Fenoterol,-1,,0.54,APPROVED,EQUIVALENT,Finn Fassbender,1744821097361,19053979,fenoterol,Drug,MAPS_TO,,Finn Fassbender,1744821096876,
1764,Pitressin,-1,,0.58,APPROVED,EQUIVALENT,Finn Fassbender,1744821491413,1507835,vasopressin (USP),Drug,MAPS_TO,,Finn Fassbender,1744821490795,
1788,Exemestan,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025978877,1398399,exemestane,Drug,MAPS_TO,,<auto>,1741025067940,
1561,Esmolol,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,19063575,esmolol,Drug,MAPS_TO,,<auto>,1741025068036,
1841,Trospium chlorid,-1,,0.90,APPROVED,EQUIVALENT,Finn Fassbender,1741026063871,991825,trospium,Drug,MAPS_TO,,Finn Fassbender,1741026052994,
1404,Rosuvastatin,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1510813,rosuvastatin,Drug,MAPS_TO,,<auto>,1741025068405,
1666,Atorvastatin,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,1545958,atorvastatin,Drug,MAPS_TO,,<auto>,1741025068460,
1489,ZzNystatin,-1,,0.43,APPROVED,EQUAL,Finn Fassbender,1741026560670,922570,nystatin,Drug,MAPS_TO,,<auto>,1741025068552,
1483,Terlipressin,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,19119253,terlipressin,Drug,MAPS_TO,,<auto>,1741025068712,
1716,Posaconazol,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,1704139,posaconazole,Drug,MAPS_TO,,<auto>,1741025068730,
1426,Esomeprazol,-1,,0.98,APPROVED,EQUAL,Finn Fassbender,1741025953082,904453,esomeprazole,Drug,MAPS_TO,,<auto>,1741025068733,
2001,Methylphenidat hydrochlorid,-1,,0.88,APPROVED,EQUIVALENT,Finn Fassbender,1744819565295,705944,methylphenidate,Drug,MAPS_TO,,Finn Fassbender,1744819564616,
1857,Cinacalcet hydrochlorid,-1,,0.57,APPROVED,EQUIVALENT,Finn Fassbender,1744820017926,1548111,cinacalcet,Drug,MAPS_TO,,Finn Fassbender,1744820017319,
1494,Urapidil,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,19101849,urapidil,Drug,MAPS_TO,,<auto>,1741025068932,
1869,Rotigotin,-1,,0.99,APPROVED,EQUAL,Finn Fassbender,1741025953082,786426,rotigotine,Drug,MAPS_TO,,<auto>,1741025069011,
1568,Ipratropriumbromid,-1,,0.54,APPROVED,EQUIVALENT,Finn Fassbender,1744820276919,1112921,ipratropium,Drug,MAPS_TO,,Finn Fassbender,1744820276030,
1504,Atracurium,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1741025922624,19014341,atracurium,Drug,MAPS_TO,,<auto>,1741025069095,
