00001 001     0 Central Nervous System and Cranial Nerves, Bypass            Central Nervous System and Cranial Nerves, Bypass
33172 0DTA8ZZ 1 Resection of Jejunum, Endo                                   Resection of Jejunum, Via Natural or Artificial Opening Endoscopic
33173 0DTB0ZZ 1 Resection of Ileum, Open Approach                            Resection of Ileum, Open Approach
33174 0DTB4ZZ 1 Resection of Ileum, Percutaneous Endoscopic Approach         Resection of Ileum, Percutaneous Endoscopic Approach
33175 0DTB7ZZ 1 Resection of Ileum, Via Natural or Artificial Opening        Resection of Ileum, Via Natural or Artificial Opening
33176 0DTB8ZZ 1 Resection of Ileum, Endo                                     Resection of Ileum, Via Natural or Artificial Opening Endoscopic
33177 0DTC0ZZ 1 Resection of Ileocecal Valve, Open Approach                  Resection of Ileocecal Valve, Open Approach
33178 0DTC4ZZ 1 Resection of Ileocecal Valve, Perc Endo Approach             Resection of Ileocecal Valve, Percutaneous Endoscopic Approach
33179 0DTC7ZZ 1 Resection of Ileocecal Valve, Via Opening                    Resection of Ileocecal Valve, Via Natural or Artificial Opening
33180 0DTC8ZZ 1 Resection of Ileocecal Valve, Endo                           Resection of Ileocecal Valve, Via Natural or Artificial Opening Endoscopic
33181 0DTE0ZZ 1 Resection of Large Intestine, Open Approach                  Resection of Large Intestine, Open Approach
33182 0DTE4ZZ 1 Resection of Large Intestine, Perc Endo Approach             Resection of Large Intestine, Percutaneous Endoscopic Approach
33183 0DTE7ZZ 1 Resection of Large Intestine, Via Opening                    Resection of Large Intestine, Via Natural or Artificial Opening
33184 0DTE8ZZ 1 Resection of Large Intestine, Endo                           Resection of Large Intestine, Via Natural or Artificial Opening Endoscopic
33185 0DTF0ZZ 1 Resection of Right Large Intestine, Open Approach            Resection of Right Large Intestine, Open Approach
33186 0DTF4ZZ 1 Resection of Right Large Intestine, Perc Endo Approach       Resection of Right Large Intestine, Percutaneous Endoscopic Approach
33187 0DTF7ZZ 1 Resection of Right Large Intestine, Via Opening              Resection of Right Large Intestine, Via Natural or Artificial Opening
33188 0DTF8ZZ 1 Resection of Right Large Intestine, Endo                     Resection of Right Large Intestine, Via Natural or Artificial Opening Endoscopic
33189 0DTG0ZZ 1 Resection of Left Large Intestine, Open Approach             Resection of Left Large Intestine, Open Approach
33190 0DTG4ZZ 1 Resection of Left Large Intestine, Perc Endo Approach        Resection of Left Large Intestine, Percutaneous Endoscopic Approach
33191 0DTG7ZZ 1 Resection of Left Large Intestine, Via Opening               Resection of Left Large Intestine, Via Natural or Artificial Opening
33192 0DTG8ZZ 1 Resection of Left Large Intestine, Endo                      Resection of Left Large Intestine, Via Natural or Artificial Opening Endoscopic
33193 0DTGFZZ 1 Resection of Left Large Intestine, Via Opening w Perc Endo   Resection of Left Large Intestine, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
33194 0DTH0ZZ 1 Resection of Cecum, Open Approach                            Resection of Cecum, Open Approach
33195 0DTH4ZZ 1 Resection of Cecum, Percutaneous Endoscopic Approach         Resection of Cecum, Percutaneous Endoscopic Approach
33196 0DTH7ZZ 1 Resection of Cecum, Via Natural or Artificial Opening        Resection of Cecum, Via Natural or Artificial Opening
33197 0DTH8ZZ 1 Resection of Cecum, Endo                                     Resection of Cecum, Via Natural or Artificial Opening Endoscopic
33198 0DTJ0ZZ 1 Resection of Appendix, Open Approach                         Resection of Appendix, Open Approach
33199 0DTJ4ZZ 1 Resection of Appendix, Percutaneous Endoscopic Approach      Resection of Appendix, Percutaneous Endoscopic Approach
33200 0DTJ7ZZ 1 Resection of Appendix, Via Natural or Artificial Opening     Resection of Appendix, Via Natural or Artificial Opening
33201 0DTJ8ZZ 1 Resection of Appendix, Endo                                  Resection of Appendix, Via Natural or Artificial Opening Endoscopic
33202 0DTK0ZZ 1 Resection of Ascending Colon, Open Approach                  Resection of Ascending Colon, Open Approach
33203 0DTK4ZZ 1 Resection of Ascending Colon, Perc Endo Approach             Resection of Ascending Colon, Percutaneous Endoscopic Approach
33204 0DTK7ZZ 1 Resection of Ascending Colon, Via Opening                    Resection of Ascending Colon, Via Natural or Artificial Opening
33205 0DTK8ZZ 1 Resection of Ascending Colon, Endo                           Resection of Ascending Colon, Via Natural or Artificial Opening Endoscopic
33206 0DTL0ZZ 1 Resection of Transverse Colon, Open Approach                 Resection of Transverse Colon, Open Approach
33207 0DTL4ZZ 1 Resection of Transverse Colon, Perc Endo Approach            Resection of Transverse Colon, Percutaneous Endoscopic Approach
33208 0DTL7ZZ 1 Resection of Transverse Colon, Via Opening                   Resection of Transverse Colon, Via Natural or Artificial Opening
33209 0DTL8ZZ 1 Resection of Transverse Colon, Endo                          Resection of Transverse Colon, Via Natural or Artificial Opening Endoscopic
33210 0DTLFZZ 1 Resection of Transverse Colon, Via Opening w Perc Endo       Resection of Transverse Colon, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
33211 0DTM0ZZ 1 Resection of Descending Colon, Open Approach                 Resection of Descending Colon, Open Approach
33212 0DTM4ZZ 1 Resection of Descending Colon, Perc Endo Approach            Resection of Descending Colon, Percutaneous Endoscopic Approach
33213 0DTM7ZZ 1 Resection of Descending Colon, Via Opening                   Resection of Descending Colon, Via Natural or Artificial Opening
33214 0DTM8ZZ 1 Resection of Descending Colon, Endo                          Resection of Descending Colon, Via Natural or Artificial Opening Endoscopic
33215 0DTMFZZ 1 Resection of Descending Colon, Via Opening w Perc Endo       Resection of Descending Colon, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
33216 0DTN0ZZ 1 Resection of Sigmoid Colon, Open Approach                    Resection of Sigmoid Colon, Open Approach
33217 0DTN4ZZ 1 Resection of Sigmoid Colon, Percutaneous Endoscopic Approach Resection of Sigmoid Colon, Percutaneous Endoscopic Approach
33218 0DTN7ZZ 1 Resection of Sigmoid Colon, Via Opening                      Resection of Sigmoid Colon, Via Natural or Artificial Opening
33219 0DTN8ZZ 1 Resection of Sigmoid Colon, Endo                             Resection of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic
33220 0DTNFZZ 1 Resection of Sigmoid Colon, Via Opening w Perc Endo          Resection of Sigmoid Colon, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
33221 0DTP0ZZ 1 Resection of Rectum, Open Approach                           Resection of Rectum, Open Approach
33222 0DTP4ZZ 1 Resection of Rectum, Percutaneous Endoscopic Approach        Resection of Rectum, Percutaneous Endoscopic Approach
33223 0DTP7ZZ 1 Resection of Rectum, Via Natural or Artificial Opening       Resection of Rectum, Via Natural or Artificial Opening
33224 0DTP8ZZ 1 Resection of Rectum, Endo                                    Resection of Rectum, Via Natural or Artificial Opening Endoscopic
33225 0DTQ0ZZ 1 Resection of Anus, Open Approach                             Resection of Anus, Open Approach
33226 0DTQ4ZZ 1 Resection of Anus, Percutaneous Endoscopic Approach          Resection of Anus, Percutaneous Endoscopic Approach
33227 0DTQ7ZZ 1 Resection of Anus, Via Natural or Artificial Opening         Resection of Anus, Via Natural or Artificial Opening
33228 0DTQ8ZZ 1 Resection of Anus, Endo                                      Resection of Anus, Via Natural or Artificial Opening Endoscopic
33229 0DTR0ZZ 1 Resection of Anal Sphincter, Open Approach                   Resection of Anal Sphincter, Open Approach
33230 0DTR4ZZ 1 Resection of Anal Sphincter, Perc Endo Approach              Resection of Anal Sphincter, Percutaneous Endoscopic Approach
33231 0DTU0ZZ 1 Resection of Omentum, Open Approach                          Resection of Omentum, Open Approach
33232 0DTU4ZZ 1 Resection of Omentum, Percutaneous Endoscopic Approach       Resection of Omentum, Percutaneous Endoscopic Approach
33233 0DU     0 Gastrointestinal System, Supplement                          Gastrointestinal System, Supplement
33234 0DU107Z 1 Supplement Upper Esophagus with Autol Sub, Open Approach     Supplement Upper Esophagus with Autologous Tissue Substitute, Open Approach
33235 0DU10JZ 1 Supplement Upper Esophagus with Synth Sub, Open Approach     Supplement Upper Esophagus with Synthetic Substitute, Open Approach
33236 0DU10KZ 1 Supplement Upper Esophagus with Nonaut Sub, Open Approach    Supplement Upper Esophagus with Nonautologous Tissue Substitute, Open Approach
33237 0DU147Z 1 Supplement Up Esophag with Autol Sub, Perc Endo Approach     Supplement Upper Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33238 0DU14JZ 1 Supplement Up Esophag with Synth Sub, Perc Endo Approach     Supplement Upper Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach
33239 0DU14KZ 1 Supplement Up Esophag with Nonaut Sub, Perc Endo Approach    Supplement Upper Esophagus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33240 0DU177Z 1 Supplement Upper Esophagus with Autol Sub, Via Opening       Supplement Upper Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening
33241 0DU17JZ 1 Supplement Upper Esophagus with Synth Sub, Via Opening       Supplement Upper Esophagus with Synthetic Substitute, Via Natural or Artificial Opening
33242 0DU17KZ 1 Supplement Upper Esophagus with Nonaut Sub, Via Opening      Supplement Upper Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33243 0DU187Z 1 Supplement Upper Esophagus with Autol Sub, Endo              Supplement Upper Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33244 0DU18JZ 1 Supplement Upper Esophagus with Synthetic Substitute, Endo   Supplement Upper Esophagus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33245 0DU18KZ 1 Supplement Upper Esophagus with Nonaut Sub, Endo             Supplement Upper Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33246 0DU207Z 1 Supplement Middle Esophagus with Autol Sub, Open Approach    Supplement Middle Esophagus with Autologous Tissue Substitute, Open Approach
33247 0DU20JZ 1 Supplement Middle Esophagus with Synth Sub, Open Approach    Supplement Middle Esophagus with Synthetic Substitute, Open Approach
33248 0DU20KZ 1 Supplement Middle Esophagus with Nonaut Sub, Open Approach   Supplement Middle Esophagus with Nonautologous Tissue Substitute, Open Approach
33249 0DU247Z 1 Supplement Mid Esophag with Autol Sub, Perc Endo Approach    Supplement Middle Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33250 0DU24JZ 1 Supplement Mid Esophag with Synth Sub, Perc Endo Approach    Supplement Middle Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach
33251 0DU24KZ 1 Supplement Mid Esophag with Nonaut Sub, Perc Endo Approach   Supplement Middle Esophagus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33252 0DU277Z 1 Supplement Middle Esophagus with Autol Sub, Via Opening      Supplement Middle Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening
33253 0DU27JZ 1 Supplement Middle Esophagus with Synth Sub, Via Opening      Supplement Middle Esophagus with Synthetic Substitute, Via Natural or Artificial Opening
33254 0DU27KZ 1 Supplement Middle Esophagus with Nonaut Sub, Via Opening     Supplement Middle Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33255 0DU287Z 1 Supplement Middle Esophagus with Autol Sub, Endo             Supplement Middle Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33256 0DU28JZ 1 Supplement Middle Esophagus with Synthetic Substitute, Endo  Supplement Middle Esophagus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33257 0DU28KZ 1 Supplement Middle Esophagus with Nonaut Sub, Endo            Supplement Middle Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33258 0DU307Z 1 Supplement Lower Esophagus with Autol Sub, Open Approach     Supplement Lower Esophagus with Autologous Tissue Substitute, Open Approach
33259 0DU30JZ 1 Supplement Lower Esophagus with Synth Sub, Open Approach     Supplement Lower Esophagus with Synthetic Substitute, Open Approach
33260 0DU30KZ 1 Supplement Lower Esophagus with Nonaut Sub, Open Approach    Supplement Lower Esophagus with Nonautologous Tissue Substitute, Open Approach
33261 0DU347Z 1 Supplement Low Esophag with Autol Sub, Perc Endo Approach    Supplement Lower Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33262 0DU34JZ 1 Supplement Low Esophag with Synth Sub, Perc Endo Approach    Supplement Lower Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach
33263 0DU34KZ 1 Supplement Low Esophag with Nonaut Sub, Perc Endo Approach   Supplement Lower Esophagus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33264 0DU377Z 1 Supplement Lower Esophagus with Autol Sub, Via Opening       Supplement Lower Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening
33265 0DU37JZ 1 Supplement Lower Esophagus with Synth Sub, Via Opening       Supplement Lower Esophagus with Synthetic Substitute, Via Natural or Artificial Opening
33266 0DU37KZ 1 Supplement Lower Esophagus with Nonaut Sub, Via Opening      Supplement Lower Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33267 0DU387Z 1 Supplement Lower Esophagus with Autol Sub, Endo              Supplement Lower Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33268 0DU38JZ 1 Supplement Lower Esophagus with Synthetic Substitute, Endo   Supplement Lower Esophagus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33269 0DU38KZ 1 Supplement Lower Esophagus with Nonaut Sub, Endo             Supplement Lower Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33270 0DU407Z 1 Supplement Esophagast Junct with Autol Sub, Open Approach    Supplement Esophagogastric Junction with Autologous Tissue Substitute, Open Approach
33271 0DU40JZ 1 Supplement Esophagast Junct with Synth Sub, Open Approach    Supplement Esophagogastric Junction with Synthetic Substitute, Open Approach
33272 0DU40KZ 1 Supplement Esophagast Junct with Nonaut Sub, Open Approach   Supplement Esophagogastric Junction with Nonautologous Tissue Substitute, Open Approach
33273 0DU447Z 1 Supplement Esophagast Junct w Autol Sub, Perc Endo           Supplement Esophagogastric Junction with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33274 0DU44JZ 1 Supplement Esophagast Junct w Synth Sub, Perc Endo           Supplement Esophagogastric Junction with Synthetic Substitute, Percutaneous Endoscopic Approach
33275 0DU44KZ 1 Supplement Esophagast Junct w Nonaut Sub, Perc Endo          Supplement Esophagogastric Junction with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33276 0DU477Z 1 Supplement Esophagast Junct with Autol Sub, Via Opening      Supplement Esophagogastric Junction with Autologous Tissue Substitute, Via Natural or Artificial Opening
33277 0DU47JZ 1 Supplement Esophagast Junct with Synth Sub, Via Opening      Supplement Esophagogastric Junction with Synthetic Substitute, Via Natural or Artificial Opening
33278 0DU47KZ 1 Supplement Esophagast Junct with Nonaut Sub, Via Opening     Supplement Esophagogastric Junction with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33279 0DU487Z 1 Supplement Esophagogastric Junction with Autol Sub, Endo     Supplement Esophagogastric Junction with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33280 0DU48JZ 1 Supplement Esophagogastric Junction with Synth Sub, Endo     Supplement Esophagogastric Junction with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33281 0DU48KZ 1 Supplement Esophagogastric Junction with Nonaut Sub, Endo    Supplement Esophagogastric Junction with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33282 0DU507Z 1 Supplement Esophagus with Autol Sub, Open Approach           Supplement Esophagus with Autologous Tissue Substitute, Open Approach
33283 0DU50JZ 1 Supplement Esophagus with Synth Sub, Open Approach           Supplement Esophagus with Synthetic Substitute, Open Approach
33284 0DU50KZ 1 Supplement Esophagus with Nonaut Sub, Open Approach          Supplement Esophagus with Nonautologous Tissue Substitute, Open Approach
33285 0DU547Z 1 Supplement Esophagus with Autol Sub, Perc Endo Approach      Supplement Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33286 0DU54JZ 1 Supplement Esophagus with Synth Sub, Perc Endo Approach      Supplement Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach
33287 0DU54KZ 1 Supplement Esophagus with Nonaut Sub, Perc Endo Approach     Supplement Esophagus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33288 0DU577Z 1 Supplement Esophagus with Autol Sub, Via Opening             Supplement Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening
33289 0DU57JZ 1 Supplement Esophagus with Synthetic Substitute, Via Opening  Supplement Esophagus with Synthetic Substitute, Via Natural or Artificial Opening
33290 0DU57KZ 1 Supplement Esophagus with Nonaut Sub, Via Opening            Supplement Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33291 0DU587Z 1 Supplement Esophagus with Autologous Tissue Substitute, Endo Supplement Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33292 0DU58JZ 1 Supplement Esophagus with Synthetic Substitute, Endo         Supplement Esophagus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33293 0DU58KZ 1 Supplement Esophagus with Nonaut Sub, Endo                   Supplement Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33294 0DU607Z 1 Supplement Stomach with Autol Sub, Open Approach             Supplement Stomach with Autologous Tissue Substitute, Open Approach
33295 0DU60JZ 1 Supplement Stomach with Synthetic Substitute, Open Approach  Supplement Stomach with Synthetic Substitute, Open Approach
33296 0DU60KZ 1 Supplement Stomach with Nonaut Sub, Open Approach            Supplement Stomach with Nonautologous Tissue Substitute, Open Approach
33297 0DU647Z 1 Supplement Stomach with Autol Sub, Perc Endo Approach        Supplement Stomach with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33298 0DU64JZ 1 Supplement Stomach with Synth Sub, Perc Endo Approach        Supplement Stomach with Synthetic Substitute, Percutaneous Endoscopic Approach
33299 0DU64KZ 1 Supplement Stomach with Nonaut Sub, Perc Endo Approach       Supplement Stomach with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33300 0DU677Z 1 Supplement Stomach with Autol Sub, Via Opening               Supplement Stomach with Autologous Tissue Substitute, Via Natural or Artificial Opening
33301 0DU67JZ 1 Supplement Stomach with Synthetic Substitute, Via Opening    Supplement Stomach with Synthetic Substitute, Via Natural or Artificial Opening
33302 0DU67KZ 1 Supplement Stomach with Nonaut Sub, Via Opening              Supplement Stomach with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33303 0DU687Z 1 Supplement Stomach with Autologous Tissue Substitute, Endo   Supplement Stomach with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33304 0DU68JZ 1 Supplement Stomach with Synthetic Substitute, Endo           Supplement Stomach with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33305 0DU68KZ 1 Supplement Stomach with Nonaut Sub, Endo                     Supplement Stomach with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33306 0DU707Z 1 Supplement Stomach, Pylorus with Autol Sub, Open Approach    Supplement Stomach, Pylorus with Autologous Tissue Substitute, Open Approach
33307 0DU70JZ 1 Supplement Stomach, Pylorus with Synth Sub, Open Approach    Supplement Stomach, Pylorus with Synthetic Substitute, Open Approach
33308 0DU70KZ 1 Supplement Stomach, Pylorus with Nonaut Sub, Open Approach   Supplement Stomach, Pylorus with Nonautologous Tissue Substitute, Open Approach
33309 0DU747Z 1 Supplement Stomach, Pylrs with Autol Sub, Perc Endo Approach Supplement Stomach, Pylorus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33310 0DU74JZ 1 Supplement Stomach, Pylrs with Synth Sub, Perc Endo Approach Supplement Stomach, Pylorus with Synthetic Substitute, Percutaneous Endoscopic Approach
33311 0DU74KZ 1 Supplement Stomach, Pylrs w Nonaut Sub, Perc Endo            Supplement Stomach, Pylorus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33312 0DU777Z 1 Supplement Stomach, Pylorus with Autol Sub, Via Opening      Supplement Stomach, Pylorus with Autologous Tissue Substitute, Via Natural or Artificial Opening
33313 0DU77JZ 1 Supplement Stomach, Pylorus with Synth Sub, Via Opening      Supplement Stomach, Pylorus with Synthetic Substitute, Via Natural or Artificial Opening
33314 0DU77KZ 1 Supplement Stomach, Pylorus with Nonaut Sub, Via Opening     Supplement Stomach, Pylorus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33315 0DU787Z 1 Supplement Stomach, Pylorus with Autol Sub, Endo             Supplement Stomach, Pylorus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33316 0DU78JZ 1 Supplement Stomach, Pylorus with Synthetic Substitute, Endo  Supplement Stomach, Pylorus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33317 0DU78KZ 1 Supplement Stomach, Pylorus with Nonaut Sub, Endo            Supplement Stomach, Pylorus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33318 0DU807Z 1 Supplement Small Intestine with Autol Sub, Open Approach     Supplement Small Intestine with Autologous Tissue Substitute, Open Approach
33319 0DU80JZ 1 Supplement Small Intestine with Synth Sub, Open Approach     Supplement Small Intestine with Synthetic Substitute, Open Approach
33320 0DU80KZ 1 Supplement Small Intestine with Nonaut Sub, Open Approach    Supplement Small Intestine with Nonautologous Tissue Substitute, Open Approach
33321 0DU847Z 1 Supplement Small Intest with Autol Sub, Perc Endo Approach   Supplement Small Intestine with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33322 0DU84JZ 1 Supplement Small Intest with Synth Sub, Perc Endo Approach   Supplement Small Intestine with Synthetic Substitute, Percutaneous Endoscopic Approach
33323 0DU84KZ 1 Supplement Small Intest with Nonaut Sub, Perc Endo Approach  Supplement Small Intestine with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33324 0DU877Z 1 Supplement Small Intestine with Autol Sub, Via Opening       Supplement Small Intestine with Autologous Tissue Substitute, Via Natural or Artificial Opening
33325 0DU87JZ 1 Supplement Small Intestine with Synth Sub, Via Opening       Supplement Small Intestine with Synthetic Substitute, Via Natural or Artificial Opening
33326 0DU87KZ 1 Supplement Small Intestine with Nonaut Sub, Via Opening      Supplement Small Intestine with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33327 0DU887Z 1 Supplement Small Intestine with Autol Sub, Endo              Supplement Small Intestine with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33328 0DU88JZ 1 Supplement Small Intestine with Synthetic Substitute, Endo   Supplement Small Intestine with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33329 0DU88KZ 1 Supplement Small Intestine with Nonaut Sub, Endo             Supplement Small Intestine with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33330 0DU907Z 1 Supplement Duodenum with Autol Sub, Open Approach            Supplement Duodenum with Autologous Tissue Substitute, Open Approach
33331 0DU90JZ 1 Supplement Duodenum with Synthetic Substitute, Open Approach Supplement Duodenum with Synthetic Substitute, Open Approach
33332 0DU90KZ 1 Supplement Duodenum with Nonaut Sub, Open Approach           Supplement Duodenum with Nonautologous Tissue Substitute, Open Approach
33333 0DU947Z 1 Supplement Duodenum with Autol Sub, Perc Endo Approach       Supplement Duodenum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33334 0DU94JZ 1 Supplement Duodenum with Synth Sub, Perc Endo Approach       Supplement Duodenum with Synthetic Substitute, Percutaneous Endoscopic Approach
33335 0DU94KZ 1 Supplement Duodenum with Nonaut Sub, Perc Endo Approach      Supplement Duodenum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33336 0DU977Z 1 Supplement Duodenum with Autol Sub, Via Opening              Supplement Duodenum with Autologous Tissue Substitute, Via Natural or Artificial Opening
33337 0DU97JZ 1 Supplement Duodenum with Synthetic Substitute, Via Opening   Supplement Duodenum with Synthetic Substitute, Via Natural or Artificial Opening
33338 0DU97KZ 1 Supplement Duodenum with Nonaut Sub, Via Opening             Supplement Duodenum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33339 0DU987Z 1 Supplement Duodenum with Autologous Tissue Substitute, Endo  Supplement Duodenum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33340 0DU98JZ 1 Supplement Duodenum with Synthetic Substitute, Endo          Supplement Duodenum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33341 0DU98KZ 1 Supplement Duodenum with Nonaut Sub, Endo                    Supplement Duodenum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33342 0DUA07Z 1 Supplement Jejunum with Autol Sub, Open Approach             Supplement Jejunum with Autologous Tissue Substitute, Open Approach
33343 0DUA0JZ 1 Supplement Jejunum with Synthetic Substitute, Open Approach  Supplement Jejunum with Synthetic Substitute, Open Approach
33344 0DUA0KZ 1 Supplement Jejunum with Nonaut Sub, Open Approach            Supplement Jejunum with Nonautologous Tissue Substitute, Open Approach
33345 0DUA47Z 1 Supplement Jejunum with Autol Sub, Perc Endo Approach        Supplement Jejunum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33346 0DUA4JZ 1 Supplement Jejunum with Synth Sub, Perc Endo Approach        Supplement Jejunum with Synthetic Substitute, Percutaneous Endoscopic Approach
33347 0DUA4KZ 1 Supplement Jejunum with Nonaut Sub, Perc Endo Approach       Supplement Jejunum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33348 0DUA77Z 1 Supplement Jejunum with Autol Sub, Via Opening               Supplement Jejunum with Autologous Tissue Substitute, Via Natural or Artificial Opening
33349 0DUA7JZ 1 Supplement Jejunum with Synthetic Substitute, Via Opening    Supplement Jejunum with Synthetic Substitute, Via Natural or Artificial Opening
33350 0DUA7KZ 1 Supplement Jejunum with Nonaut Sub, Via Opening              Supplement Jejunum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33351 0DUA87Z 1 Supplement Jejunum with Autologous Tissue Substitute, Endo   Supplement Jejunum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33352 0DUA8JZ 1 Supplement Jejunum with Synthetic Substitute, Endo           Supplement Jejunum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
33353 0DUA8KZ 1 Supplement Jejunum with Nonaut Sub, Endo                     Supplement Jejunum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33354 0DUB07Z 1 Supplement Ileum with Autol Sub, Open Approach               Supplement Ileum with Autologous Tissue Substitute, Open Approach
33355 0DUB0JZ 1 Supplement Ileum with Synthetic Substitute, Open Approach    Supplement Ileum with Synthetic Substitute, Open Approach
33356 0DUB0KZ 1 Supplement Ileum with Nonaut Sub, Open Approach              Supplement Ileum with Nonautologous Tissue Substitute, Open Approach
33357 0DUB47Z 1 Supplement Ileum with Autol Sub, Perc Endo Approach          Supplement Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
33358 0DUB4JZ 1 Supplement Ileum with Synth Sub, Perc Endo Approach          Supplement Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach
33359 0DUB4KZ 1 Supplement Ileum with Nonaut Sub, Perc Endo Approach         Supplement Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
33360 0DUB77Z 1 Supplement Ileum with Autol Sub, Via Opening                 Supplement Ileum with Autologous Tissue Substitute, Via Natural or Artificial Opening
33361 0DUB7JZ 1 Supplement Ileum with Synthetic Substitute, Via Opening      Supplement Ileum with Synthetic Substitute, Via Natural or Artificial Opening
33362 0DUB7KZ 1 Supplement Ileum with Nonaut Sub, Via Opening                Supplement Ileum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
33363 0DUB87Z 1 Supplement Ileum with Autologous Tissue Substitute, Endo     Supplement Ileum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
33364 0DUB8JZ 1 Supplement Ileum with Synthetic Substitute, Endo             Supplement Ileum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
