icd9,icd10,description
01321,A1781,Tuberculoma of brain and spinal cord
01322,A1781,Tuberculoma of brain and spinal cord
01323,A1781,Tuberculoma of brain and spinal cord
01324,A1781,Tuberculoma of brain and spinal cord
01325,A1781,Tuberculoma of brain and spinal cord
01326,A1781,Tuberculoma of brain and spinal cord
01330,A1781,Tuberculoma of brain and spinal cord
01331,A1781,Tuberculoma of brain and spinal cord
01332,A1781,Tuberculoma of brain and spinal cord
01333,A1781,Tuberculoma of brain and spinal cord
01334,A1781,Tuberculoma of brain and spinal cord
01335,A1781,Tuberculoma of brain and spinal cord
01336,A1781,Tuberculoma of brain and spinal cord
01340,A1781,Tuberculoma of brain and spinal cord
01341,A1781,Tuberculoma of brain and spinal cord
01342,A1781,Tuberculoma of brain and spinal cord
01343,A1781,Tuberculoma of brain and spinal cord
01344,A1781,Tuberculoma of brain and spinal cord
01345,A1781,Tuberculoma of brain and spinal cord
01346,A1781,Tuberculoma of brain and spinal cord
01350,A1781,Tuberculoma of brain and spinal cord
01351,A1781,Tuberculoma of brain and spinal cord
01352,A1781,Tuberculoma of brain and spinal cord
01353,A1781,Tuberculoma of brain and spinal cord
01354,A1781,Tuberculoma of brain and spinal cord
01355,A1781,Tuberculoma of brain and spinal cord
01356,A1781,Tuberculoma of brain and spinal cord
01360,A1782,Tuberculous meningoencephalitis
01361,A1782,Tuberculous meningoencephalitis
01362,A1782,Tuberculous meningoencephalitis
01363,A1782,Tuberculous meningoencephalitis
01364,A1782,Tuberculous meningoencephalitis
01365,A1782,Tuberculous meningoencephalitis
01366,A1782,Tuberculous meningoencephalitis
01380,A1789,Other tuberculosis of nervous system
01381,A1789,Other tuberculosis of nervous system
01382,A1789,Other tuberculosis of nervous system
01383,A1789,Other tuberculosis of nervous system
01384,A1789,Other tuberculosis of nervous system
01385,A1789,Other tuberculosis of nervous system
01386,A1789,Other tuberculosis of nervous system
01390,A179,"Tuberculosis of nervous system, unspecified"
01391,A179,"Tuberculosis of nervous system, unspecified"
01392,A179,"Tuberculosis of nervous system, unspecified"
01393,A179,"Tuberculosis of nervous system, unspecified"
01394,A179,"Tuberculosis of nervous system, unspecified"
01395,A179,"Tuberculosis of nervous system, unspecified"
01396,A179,"Tuberculosis of nervous system, unspecified"
01400,A1831,Tuberculous peritonitis
01401,A1831,Tuberculous peritonitis
01402,A1831,Tuberculous peritonitis
01403,A1831,Tuberculous peritonitis
01404,A1831,Tuberculous peritonitis
01405,A1831,Tuberculous peritonitis
01406,A1831,Tuberculous peritonitis
01480,A1832,Tuberculous enteritis
01480,A1839,Retroperitoneal tuberculosis
01481,A1832,Tuberculous enteritis
01481,A1839,Retroperitoneal tuberculosis
01482,A1832,Tuberculous enteritis
01482,A1839,Retroperitoneal tuberculosis
01483,A1832,Tuberculous enteritis
01483,A1839,Retroperitoneal tuberculosis
01484,A1832,Tuberculous enteritis
01484,A1839,Retroperitoneal tuberculosis
01485,A1832,Tuberculous enteritis
01485,A1839,Retroperitoneal tuberculosis
01486,A1832,Tuberculous enteritis
01486,A1839,Retroperitoneal tuberculosis
01500,A1801,Tuberculosis of spine
01501,A1801,Tuberculosis of spine
01502,A1801,Tuberculosis of spine
01503,A1801,Tuberculosis of spine
01504,A1801,Tuberculosis of spine
01505,A1801,Tuberculosis of spine
01506,A1801,Tuberculosis of spine
01510,A1802,Tuberculous arthritis of other joints
01511,A1802,Tuberculous arthritis of other joints
01512,A1802,Tuberculous arthritis of other joints
01513,A1802,Tuberculous arthritis of other joints
01514,A1802,Tuberculous arthritis of other joints
01515,A1802,Tuberculous arthritis of other joints
01516,A1802,Tuberculous arthritis of other joints
01520,A1802,Tuberculous arthritis of other joints
01521,A1802,Tuberculous arthritis of other joints
01522,A1802,Tuberculous arthritis of other joints
01523,A1802,Tuberculous arthritis of other joints
01524,A1802,Tuberculous arthritis of other joints
01525,A1802,Tuberculous arthritis of other joints
01526,A1802,Tuberculous arthritis of other joints
01550,A1803,Tuberculosis of other bones
01551,A1803,Tuberculosis of other bones
01552,A1803,Tuberculosis of other bones
01553,A1803,Tuberculosis of other bones
01554,A1803,Tuberculosis of other bones
01555,A1803,Tuberculosis of other bones
01556,A1803,Tuberculosis of other bones
01560,A1803,Tuberculosis of other bones
01561,A1803,Tuberculosis of other bones
01562,A1803,Tuberculosis of other bones
01563,A1803,Tuberculosis of other bones
01564,A1803,Tuberculosis of other bones
01565,A1803,Tuberculosis of other bones
01566,A1803,Tuberculosis of other bones
01570,A1803,Tuberculosis of other bones
01571,A1803,Tuberculosis of other bones
01572,A1803,Tuberculosis of other bones
01573,A1803,Tuberculosis of other bones
01574,A1803,Tuberculosis of other bones
01575,A1803,Tuberculosis of other bones
01576,A1803,Tuberculosis of other bones
01580,A1802,Tuberculous arthritis of other joints
01581,A1802,Tuberculous arthritis of other joints
01582,A1802,Tuberculous arthritis of other joints
01583,A1802,Tuberculous arthritis of other joints
01584,A1802,Tuberculous arthritis of other joints
01585,A1802,Tuberculous arthritis of other joints
01586,A1802,Tuberculous arthritis of other joints
01590,A1802,Tuberculous arthritis of other joints
01590,A1803,Tuberculosis of other bones
01591,A1802,Tuberculous arthritis of other joints
01591,A1803,Tuberculosis of other bones
01592,A1802,Tuberculous arthritis of other joints
01592,A1803,Tuberculosis of other bones
01593,A1802,Tuberculous arthritis of other joints
01593,A1803,Tuberculosis of other bones
01594,A1802,Tuberculous arthritis of other joints
01594,A1803,Tuberculosis of other bones
01595,A1802,Tuberculous arthritis of other joints
01595,A1803,Tuberculosis of other bones
01596,A1802,Tuberculous arthritis of other joints
01596,A1803,Tuberculosis of other bones
01600,A1811,Tuberculosis of kidney and ureter
01601,A1811,Tuberculosis of kidney and ureter
01602,A1811,Tuberculosis of kidney and ureter
01603,A1811,Tuberculosis of kidney and ureter
01604,A1811,Tuberculosis of kidney and ureter
01605,A1811,Tuberculosis of kidney and ureter
01606,A1811,Tuberculosis of kidney and ureter
01610,A1812,Tuberculosis of bladder
01611,A1812,Tuberculosis of bladder
01612,A1812,Tuberculosis of bladder
01613,A1812,Tuberculosis of bladder
01614,A1812,Tuberculosis of bladder
01615,A1812,Tuberculosis of bladder
01616,A1812,Tuberculosis of bladder
01620,A1811,Tuberculosis of kidney and ureter
01621,A1811,Tuberculosis of kidney and ureter
01622,A1811,Tuberculosis of kidney and ureter
01623,A1811,Tuberculosis of kidney and ureter
01624,A1811,Tuberculosis of kidney and ureter
01625,A1811,Tuberculosis of kidney and ureter
01626,A1811,Tuberculosis of kidney and ureter
01630,A1813,Tuberculosis of other urinary organs
01631,A1813,Tuberculosis of other urinary organs
01632,A1813,Tuberculosis of other urinary organs
01633,A1813,Tuberculosis of other urinary organs
01634,A1813,Tuberculosis of other urinary organs
01635,A1813,Tuberculosis of other urinary organs
01636,A1813,Tuberculosis of other urinary organs
01640,A1815,Tuberculosis of other male genital organs
01641,A1815,Tuberculosis of other male genital organs
01642,A1815,Tuberculosis of other male genital organs
01643,A1815,Tuberculosis of other male genital organs
01644,A1815,Tuberculosis of other male genital organs
01645,A1815,Tuberculosis of other male genital organs
01646,A1815,Tuberculosis of other male genital organs
01650,A1814,Tuberculosis of prostate
01650,A1815,Tuberculosis of other male genital organs
01651,A1814,Tuberculosis of prostate
01651,A1815,Tuberculosis of other male genital organs
01652,A1814,Tuberculosis of prostate
01652,A1815,Tuberculosis of other male genital organs
01653,A1814,Tuberculosis of prostate
01653,A1815,Tuberculosis of other male genital organs
01654,A1814,Tuberculosis of prostate
01654,A1815,Tuberculosis of other male genital organs
01655,A1814,Tuberculosis of prostate
01655,A1815,Tuberculosis of other male genital organs
01656,A1814,Tuberculosis of prostate
01656,A1815,Tuberculosis of other male genital organs
01660,A1817,Tuberculous female pelvic inflammatory disease
01661,A1817,Tuberculous female pelvic inflammatory disease
01662,A1817,Tuberculous female pelvic inflammatory disease
01663,A1817,Tuberculous female pelvic inflammatory disease
01664,A1817,Tuberculous female pelvic inflammatory disease
01665,A1817,Tuberculous female pelvic inflammatory disease
01666,A1817,Tuberculous female pelvic inflammatory disease
01670,A1816,Tuberculosis of cervix
01670,A1817,Tuberculous female pelvic inflammatory disease
01670,A1818,Tuberculosis of other female genital organs
01671,A1816,Tuberculosis of cervix
01671,A1817,Tuberculous female pelvic inflammatory disease
01671,A1818,Tuberculosis of other female genital organs
01672,A1816,Tuberculosis of cervix
01672,A1817,Tuberculous female pelvic inflammatory disease
01672,A1818,Tuberculosis of other female genital organs
01673,A1816,Tuberculosis of cervix
01673,A1817,Tuberculous female pelvic inflammatory disease
01673,A1818,Tuberculosis of other female genital organs
01674,A1816,Tuberculosis of cervix
01674,A1817,Tuberculous female pelvic inflammatory disease
01674,A1818,Tuberculosis of other female genital organs
01675,A1816,Tuberculosis of cervix
01675,A1817,Tuberculous female pelvic inflammatory disease
01675,A1818,Tuberculosis of other female genital organs
01676,A1816,Tuberculosis of cervix
01676,A1817,Tuberculous female pelvic inflammatory disease
01676,A1818,Tuberculosis of other female genital organs
01690,A1810,"Tuberculosis of genitourinary system, unspecified"
01691,A1810,"Tuberculosis of genitourinary system, unspecified"
01692,A1810,"Tuberculosis of genitourinary system, unspecified"
01693,A1810,"Tuberculosis of genitourinary system, unspecified"
01694,A1810,"Tuberculosis of genitourinary system, unspecified"
01695,A1810,"Tuberculosis of genitourinary system, unspecified"
01696,A1810,"Tuberculosis of genitourinary system, unspecified"
01700,A184,Tuberculosis of skin and subcutaneous tissue
01701,A184,Tuberculosis of skin and subcutaneous tissue
01702,A184,Tuberculosis of skin and subcutaneous tissue
01703,A184,Tuberculosis of skin and subcutaneous tissue
01704,A184,Tuberculosis of skin and subcutaneous tissue
01705,A184,Tuberculosis of skin and subcutaneous tissue
01706,A184,Tuberculosis of skin and subcutaneous tissue
01710,A184,Tuberculosis of skin and subcutaneous tissue
01711,A184,Tuberculosis of skin and subcutaneous tissue
01712,A184,Tuberculosis of skin and subcutaneous tissue
01713,A184,Tuberculosis of skin and subcutaneous tissue
01714,A184,Tuberculosis of skin and subcutaneous tissue
01715,A184,Tuberculosis of skin and subcutaneous tissue
01716,A184,Tuberculosis of skin and subcutaneous tissue
01720,A182,Tuberculous peripheral lymphadenopathy
01721,A182,Tuberculous peripheral lymphadenopathy
01722,A182,Tuberculous peripheral lymphadenopathy
01723,A182,Tuberculous peripheral lymphadenopathy
01724,A182,Tuberculous peripheral lymphadenopathy
01725,A182,Tuberculous peripheral lymphadenopathy
01726,A182,Tuberculous peripheral lymphadenopathy
01730,A1850,"Tuberculosis of eye, unspecified"
01730,A1851,Tuberculous episcleritis
01730,A1852,Tuberculous keratitis
01730,A1853,Tuberculous chorioretinitis
01730,A1854,Tuberculous iridocyclitis
01730,A1859,Other tuberculosis of eye
01731,A1850,"Tuberculosis of eye, unspecified"
01731,A1851,Tuberculous episcleritis
01731,A1852,Tuberculous keratitis
01731,A1854,Tuberculous iridocyclitis
01731,A1859,Other tuberculosis of eye
01732,A1850,"Tuberculosis of eye, unspecified"
01732,A1851,Tuberculous episcleritis
01732,A1852,Tuberculous keratitis
01732,A1854,Tuberculous iridocyclitis
01732,A1859,Other tuberculosis of eye
01733,A1850,"Tuberculosis of eye, unspecified"
01733,A1851,Tuberculous episcleritis
01733,A1852,Tuberculous keratitis
01733,A1854,Tuberculous iridocyclitis
01733,A1859,Other tuberculosis of eye
01734,A1850,"Tuberculosis of eye, unspecified"
01734,A1851,Tuberculous episcleritis
01734,A1852,Tuberculous keratitis
01734,A1854,Tuberculous iridocyclitis
01734,A1859,Other tuberculosis of eye
01735,A1850,"Tuberculosis of eye, unspecified"
01735,A1851,Tuberculous episcleritis
01735,A1852,Tuberculous keratitis
01735,A1854,Tuberculous iridocyclitis
01735,A1859,Other tuberculosis of eye
01736,A1850,"Tuberculosis of eye, unspecified"
01736,A1851,Tuberculous episcleritis
01736,A1852,Tuberculous keratitis
01736,A1854,Tuberculous iridocyclitis
01736,A1859,Other tuberculosis of eye
01740,A186,Tuberculosis of (inner) (middle) ear
01741,A186,Tuberculosis of (inner) (middle) ear
01742,A186,Tuberculosis of (inner) (middle) ear
01743,A186,Tuberculosis of (inner) (middle) ear
01744,A186,Tuberculosis of (inner) (middle) ear
01745,A186,Tuberculosis of (inner) (middle) ear
01746,A186,Tuberculosis of (inner) (middle) ear
01750,A1881,Tuberculosis of thyroid gland
01751,A1881,Tuberculosis of thyroid gland
01752,A1881,Tuberculosis of thyroid gland
01753,A1881,Tuberculosis of thyroid gland
01754,A1881,Tuberculosis of thyroid gland
01755,A1881,Tuberculosis of thyroid gland
01756,A1881,Tuberculosis of thyroid gland
01760,A187,Tuberculosis of adrenal glands
01761,A187,Tuberculosis of adrenal glands
01762,A187,Tuberculosis of adrenal glands
01763,A187,Tuberculosis of adrenal glands
01764,A187,Tuberculosis of adrenal glands
01765,A187,Tuberculosis of adrenal glands
01766,A187,Tuberculosis of adrenal glands
01770,A1885,Tuberculosis of spleen
01771,A1885,Tuberculosis of spleen
01772,A1885,Tuberculosis of spleen
01773,A1885,Tuberculosis of spleen
01774,A1885,Tuberculosis of spleen
01775,A1885,Tuberculosis of spleen
01776,A1885,Tuberculosis of spleen
01780,A1889,Tuberculosis of other sites
01781,A1889,Tuberculosis of other sites
01782,A1889,Tuberculosis of other sites
01783,A1889,Tuberculosis of other sites
01784,A1889,Tuberculosis of other sites
01785,A1889,Tuberculosis of other sites
01786,A1889,Tuberculosis of other sites
01790,A1884,Tuberculosis of heart
01791,A1884,Tuberculosis of heart
01791,A1889,Tuberculosis of other sites
01792,A1884,Tuberculosis of heart
01792,A1889,Tuberculosis of other sites
01793,A1884,Tuberculosis of heart
01793,A1889,Tuberculosis of other sites
01794,A1884,Tuberculosis of heart
01794,A1889,Tuberculosis of other sites
01795,A1884,Tuberculosis of heart
01795,A1889,Tuberculosis of other sites
01796,A1884,Tuberculosis of heart
01796,A1889,Tuberculosis of other sites
01800,A192,"Acute miliary tuberculosis, unspecified"
01801,A192,"Acute miliary tuberculosis, unspecified"
01802,A192,"Acute miliary tuberculosis, unspecified"
01803,A192,"Acute miliary tuberculosis, unspecified"
01804,A192,"Acute miliary tuberculosis, unspecified"
01805,A192,"Acute miliary tuberculosis, unspecified"
01806,A192,"Acute miliary tuberculosis, unspecified"
01880,A198,Other miliary tuberculosis
01881,A198,Other miliary tuberculosis
01882,A198,Other miliary tuberculosis
01883,A198,Other miliary tuberculosis
01884,A198,Other miliary tuberculosis
01885,A198,Other miliary tuberculosis
01886,A198,Other miliary tuberculosis
01890,A199,"Miliary tuberculosis, unspecified"
01891,A199,"Miliary tuberculosis, unspecified"
01892,A199,"Miliary tuberculosis, unspecified"
01893,A199,"Miliary tuberculosis, unspecified"
01894,A199,"Miliary tuberculosis, unspecified"
01895,A199,"Miliary tuberculosis, unspecified"
01896,A199,"Miliary tuberculosis, unspecified"
0200,A200,Bubonic plague
0201,A201,Cellulocutaneous plague
0202,A207,Septicemic plague
0203,A202,Pneumonic plague
0204,A202,Pneumonic plague
0205,A202,Pneumonic plague
0208,A208,Other forms of plague
0209,A209,"Plague, unspecified"
0210,A210,Ulceroglandular tularemia
0211,A213,Gastrointestinal tularemia
0212,A212,Pulmonary tularemia
0213,A211,Oculoglandular tularemia
0218,A217,Generalized tularemia
0218,A218,Other forms of tularemia
0219,A219,"Tularemia, unspecified"
0220,A220,Cutaneous anthrax
0221,A221,Pulmonary anthrax
0222,A222,Gastrointestinal anthrax
0223,A227,Anthrax sepsis
0228,A228,Other forms of anthrax
0229,A229,"Anthrax, unspecified"
0230,A230,Brucellosis due to Brucella melitensis
0231,A231,Brucellosis due to Brucella abortus
0232,A232,Brucellosis due to Brucella suis
0233,A233,Brucellosis due to Brucella canis
0238,A238,Other brucellosis
0239,A239,"Brucellosis, unspecified"
024,A240,Glanders
025,A243,Other melioidosis
025,A249,"Melioidosis, unspecified"
0260,A250,Spirillosis
0261,A251,Streptobacillosis
0269,A259,"Rat-bite fever, unspecified"
0270,A3211,Listerial meningitis
0270,A3212,Listerial meningoencephalitis
0270,A327,Listerial sepsis
0270,A3281,Oculoglandular listeriosis
0270,A3289,Other forms of listeriosis
0270,A329,"Listeriosis, unspecified"
0271,A267,Erysipelothrix sepsis
0271,A268,Other forms of erysipeloid
0271,A269,"Erysipeloid, unspecified"
0272,A280,Pasteurellosis
0278,A288,"Other specified zoonotic bacterial diseases, not elsewhere classified"
0279,A289,"Zoonotic bacterial disease, unspecified"
0300,A305,Lepromatous leprosy
0301,A301,Tuberculoid leprosy
0302,A300,Indeterminate leprosy
0303,A303,Borderline leprosy
0308,A308,Other forms of leprosy
0309,A309,"Leprosy, unspecified"
0310,A310,Pulmonary mycobacterial infection
0311,A311,Cutaneous mycobacterial infection
0312,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC)
0318,A318,Other mycobacterial infections
0319,A319,"Mycobacterial infection, unspecified"
0320,A360,Pharyngeal diphtheria
0321,A361,Nasopharyngeal diphtheria
0322,A3689,Other diphtheritic complications
0323,A362,Laryngeal diphtheria
03281,A3686,Diphtheritic conjunctivitis
03282,A3681,Diphtheritic cardiomyopathy
03283,A3689,Other diphtheritic complications
03284,A3685,Diphtheritic cystitis
03285,A363,Cutaneous diphtheria
03289,A3682,Diphtheritic radiculomyelitis
03289,A3683,Diphtheritic polyneuritis
03289,A3684,Diphtheritic tubulo-interstitial nephropathy
03289,A3689,Other diphtheritic complications
0329,A369,"Diphtheria, unspecified"
0330,A3700,Whooping cough due to Bordetella pertussis without pneumonia
0331,A3710,Whooping cough due to Bordetella parapertussis without pneumonia
0338,A3780,Whooping cough due to other Bordetella species without pneumonia
0339,A3790,"Whooping cough, unspecified species without pneumonia"
0340,J020,Streptococcal pharyngitis
0340,J0300,"Acute streptococcal tonsillitis, unspecified"
0341,A389,"Scarlet fever, uncomplicated"
035,A46,Erysipelas
0360,A390,Meningococcal meningitis
0361,A3981,Meningococcal encephalitis
0362,A394,"Meningococcemia, unspecified"
0363,A391,Waterhouse-Friderichsen syndrome
03640,A3950,"Meningococcal carditis, unspecified"
03641,A3953,Meningococcal pericarditis
03642,A3951,Meningococcal endocarditis
03643,A3952,Meningococcal myocarditis
03681,A3982,Meningococcal retrobulbar neuritis
03682,A3983,Meningococcal arthritis
03689,A3989,Other meningococcal infections
0369,A399,"Meningococcal infection, unspecified"
037,A35,Other tetanus
0380,A409,"Streptococcal sepsis, unspecified"
