ITEMID,COALESCED_CONCEPT_NAME,LABEL,FLUID,CATEGORY,LOINC_CODE,LOINC_CONCEPT_NAME,LOINC_CODE_MATCH,MAPPED_CONCEPT_CODE,MAPPED_CONCEPT_NAME
51367,Basophils/100 leukocytes in Synovial fluid,Basophils,Joint Fluid,Hematology,17833-5,,true,17833-5,Basophils/100 leukocytes in Synovial fluid
51368,Eosinophils/100 leukocytes in Synovial fluid,Eosinophils,Joint Fluid,Hematology,17834-3,,true,17834-3,Eosinophils/100 leukocytes in Synovial fluid
51369,Hematocrit [Volume Fraction] of Synovial fluid,"Hematocrit, Joint Fluid",Joint Fluid,Hematology,,,false,70168-0,Hematocrit [Volume Fraction] of Synovial fluid
51370,Crystals [type] in Synovial fluid by Light microscopy,"Joint Crystals, Birefringence",Joint Fluid,Hematology,,,false,5781-0,Crystals [type] in Synovial fluid by Light microscopy
51371,Character of Synovial fluid,"Joint Crystals, Comment",Joint Fluid,Hematology,,,false,14271-1,Character of Synovial fluid
51372,Crystals [Presence] in Synovial fluid by Light microscopy,"Joint Crystals, Location",Joint Fluid,Hematology,,,false,38458-6,Crystals [Presence] in Synovial fluid by Light microscopy
51373,Crystals [Presence] in Synovial fluid by Light microscopy,"Joint Crystals, Number",Joint Fluid,Hematology,,,false,38458-6,Crystals [Presence] in Synovial fluid by Light microscopy
51374,Crystals [type] in Synovial fluid by Light microscopy,"Joint Crystals, Shape",Joint Fluid,Hematology,,,false,5781-0,Crystals [type] in Synovial fluid by Light microscopy
51375,Lymphocytes/100 leukocytes in Synovial fluid,Lymphocytes,Joint Fluid,Hematology,26483-8,,true,26483-8,Lymphocytes/100 leukocytes in Synovial fluid
51376,Macrophages/100 leukocytes in Synovial fluid,Macrophage,Joint Fluid,Hematology,33376-5,,true,33376-5,Macrophages/100 leukocytes in Synovial fluid
51377,Mesothelial cells/100 leukocytes in Synovial fluid,Mesothelial Cells,Joint Fluid,Hematology,33365-8,,true,33365-8,Mesothelial cells/100 leukocytes in Synovial fluid
51378,Metamyelocytes/100 leukocytes in Body fluid,Metamyelocytes,Joint Fluid,Hematology,,,false,17801-2,Metamyelocytes/100 leukocytes in Body fluid
51379,Monocytes/100 leukocytes in Synovial fluid,Monocytes,Joint Fluid,Hematology,17835-0,,true,17835-0,Monocytes/100 leukocytes in Synovial fluid
51380,Nucleated erythrocytes/100 leukocytes [Ratio] in Synovial fluid,NRBC,Joint Fluid,Hematology,48040-0,Nucleated erythrocytes/100 leukocytes [Ratio] in Synovial fluid by Manual count,false,68545-3,Nucleated erythrocytes/100 leukocytes [Ratio] in Synovial fluid
51381,Leukocytes other/100 leukocytes in Synovial fluid,Other,Joint Fluid,Hematology,,,false,30410-5,Leukocytes other/100 leukocytes in Synovial fluid
51382,Polymorphonuclear cells/100 leukocytes in Synovial fluid,Polys,Joint Fluid,Hematology,26522-3,,true,26522-3,Polymorphonuclear cells/100 leukocytes in Synovial fluid
51383,Erythrocytes [#/volume] in Synovial fluid,"RBC, Joint Fluid",Joint Fluid,Hematology,26458-0,,true,26458-0,Erythrocytes [#/volume] in Synovial fluid
51384,Leukocytes [#/volume] in Synovial fluid,"WBC, Joint Fluid",Joint Fluid,Hematology,26469-7,Leukocytes [#/volume] in Synovial fluid,false,,
51385,Variant lymphocytes/100 leukocytes in Body fluid,Atypical Lymphocytes,Other Body Fluid,Hematology,30417-0,,true,30417-0,Variant lymphocytes/100 leukocytes in Body fluid
51386,Band form neutrophils/100 leukocytes in Body fluid,Bands,Other Body Fluid,Hematology,26510-8,,true,26510-8,Band form neutrophils/100 leukocytes in Body fluid
51387,Basophils/100 leukocytes in Body fluid,Basophils,Other Body Fluid,Hematology,28543-7,,true,28543-7,Basophils/100 leukocytes in Body fluid
51388,CD10 cells/100 cells in Body fluid,CD10,Other Body Fluid,Hematology,51217-8,,true,51217-8,CD10 cells/100 cells in Body fluid
51389,CD103 cells/100 cells in Body fluid,CD103,Other Body Fluid,Hematology,,,false,42864-9,CD103 cells/100 cells in Body fluid
51390,CD117 cells/100 cells in Body fluid,CD117,Other Body Fluid,Hematology,42867-2,,true,42867-2,CD117 cells/100 cells in Body fluid
51391,CD11c cells/100 cells in Body fluid,CD11c,Other Body Fluid,Hematology,51232-7,,true,51232-7,CD11c cells/100 cells in Body fluid
51392,CD13 cells/100 cells in Body fluid,CD13,Other Body Fluid,Hematology,51238-4,,true,51238-4,CD13 cells/100 cells in Body fluid
51393,CD138 cells/100 cells in Body fluid,CD138,Other Body Fluid,Hematology,42871-4,,true,42871-4,CD138 cells/100 cells in Body fluid
51394,CD14 cells/100 cells in Body fluid,CD14,Other Body Fluid,Hematology,51248-3,,true,51248-3,CD14 cells/100 cells in Body fluid
51395,CD15 cells/100 cells in Body fluid,CD15,Other Body Fluid,Hematology,51252-5,,true,51252-5,CD15 cells/100 cells in Body fluid
51396,CD16 cells/100 cells in Body fluid,CD16,Other Body Fluid,Hematology,,,false,17828-5,CD16 cells/100 cells in Body fluid
51397,CD16+CD56+ cells/100 cells in Body fluid,CD16/56,Other Body Fluid,Hematology,18268-3,,true,18268-3,CD16+CD56+ cells/100 cells in Body fluid
51398,CD19 cells/100 cells in Body fluid,CD19,Other Body Fluid,Hematology,17829-3,,true,17829-3,CD19 cells/100 cells in Body fluid
51399,CD2 cells/100 cells in Body fluid,CD2,Other Body Fluid,Hematology,17827-7,,true,17827-7,CD2 cells/100 cells in Body fluid
51400,CD20 cells/100 cells in Body fluid,CD20,Other Body Fluid,Hematology,57418-6,,true,57418-6,CD20 cells/100 cells in Body fluid
51401,CD22 cells/100 cells in Body fluid,CD22,Other Body Fluid,Hematology,42875-5,,true,42875-5,CD22 cells/100 cells in Body fluid
51402,CD23 cells/100 cells in Body fluid,CD23,Other Body Fluid,Hematology,51269-9,,true,51269-9,CD23 cells/100 cells in Body fluid
51403,CD25 cells/100 cells in Body fluid,CD25,Other Body Fluid,Hematology,,,false,51271-5,CD25 cells/100 cells in Body fluid
51404,CD3 cells/100 cells in Body fluid,CD3,Other Body Fluid,Hematology,17826-9,,true,17826-9,CD3 cells/100 cells in Body fluid
51405,CD33 cells/100 cells in Body fluid,CD33,Other Body Fluid,Hematology,51294-7,,true,51294-7,CD33 cells/100 cells in Body fluid
51406,CD34 cells [#/volume] in Body fluid,CD34,Other Body Fluid,Hematology,,,false,58939-0,CD34 cells [#/volume] in Body fluid
51407,CD38 cells/100 cells in Body fluid,CD38,Other Body Fluid,Hematology,51299-6,,true,51299-6,CD38 cells/100 cells in Body fluid
51408,CD3+CD4+ (T4 helper) cells/100 cells in Body fluid,CD4,Other Body Fluid,Hematology,17822-8,,true,17822-8,CD3+CD4+ (T4 helper) cells/100 cells in Body fluid
51409,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Body fluid,CD4/CD8 Ratio,Other Body Fluid,Hematology,18266-7,,true,18266-7,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Body fluid
51410,CD41 cells/100 cells in Body fluid,CD41,Other Body Fluid,Hematology,51320-0,,true,51320-0,CD41 cells/100 cells in Body fluid
51411,CD45 (Lymphs) cells/100 cells in Body fluid,CD45,Other Body Fluid,Hematology,17823-6,,true,17823-6,CD45 (Lymphs) cells/100 cells in Body fluid
51412,CD5 cells/100 cells in Body fluid,CD5,Other Body Fluid,Hematology,57423-6,,true,57423-6,CD5 cells/100 cells in Body fluid
51413,CD56 cells/100 cells in Body fluid,CD56,Other Body Fluid,Hematology,57424-4,,true,57424-4,CD56 cells/100 cells in Body fluid
51414,CD57 cells/100 cells in Body fluid,CD57,Other Body Fluid,Hematology,,,false,51351-5,CD57 cells/100 cells in Body fluid
51415,CD64 cells/100 cells in Body fluid,CD64,Other Body Fluid,Hematology,51366-3,,true,51366-3,CD64 cells/100 cells in Body fluid
51416,CD7 cells/100 cells in Body fluid,CD7,Other Body Fluid,Hematology,57425-1,,true,57425-1,CD7 cells/100 cells in Body fluid
51417,CD71 cells/100 cells in Body fluid,CD71,Other Body Fluid,Hematology,57426-9,,true,57426-9,CD71 cells/100 cells in Body fluid
51418,CD3+CD8+ (T8 suppressor) cells/100 cells in Body fluid,CD8,Other Body Fluid,Hematology,17824-4,,true,17824-4,CD3+CD8+ (T8 suppressor) cells/100 cells in Body fluid
51419,Eosinophils/100 leukocytes in Body fluid,Eosinophils,Other Body Fluid,Hematology,26452-3,,true,26452-3,Eosinophils/100 leukocytes in Body fluid
51420,FMC7 cells/100 cells in Body fluid,FMC-7,Other Body Fluid,Hematology,57428-5,,true,57428-5,FMC7 cells/100 cells in Body fluid
51421,Glycolate [Moles/volume] in Body fluid,Glyco A,Other Body Fluid,Hematology,57430-1,CD235a cells/100 cells in Body fluid,false,55864-3,Glycolate [Moles/volume] in Body fluid
51422,Hematocrit [Volume Fraction] of Body fluid,"Hematocrit, Other Fluid",Other Body Fluid,Hematology,11153-4,,true,11153-4,Hematocrit [Volume Fraction] of Body fluid
51423,HLA-DR+ cells/100 cells in Body fluid,HLA-DR,Other Body Fluid,Hematology,51381-2,,true,51381-2,HLA-DR+ cells/100 cells in Body fluid
51424,Immunophenotyping study,Immunophenotyping,Other Body Fluid,Hematology,,,false,55230-7,Immunophenotyping study
51425,Kappa lymphocytes/100 lymphocytes in Body fluid,Kappa,Other Body Fluid,Hematology,,,false,46238-2,Kappa lymphocytes/100 lymphocytes in Body fluid
51426,Lambda lymphocytes/100 lymphocytes in Specimen,Lambda,Other Body Fluid,Hematology,,,false,20618-5,Lambda lymphocytes/100 lymphocytes in Specimen
51427,Lymphocytes/100 leukocytes in Body fluid,Lymphocytes,Other Body Fluid,Hematology,11031-2,,true,11031-2,Lymphocytes/100 leukocytes in Body fluid
51428,Macrophages/100 leukocytes in Body fluid,Macrophage,Other Body Fluid,Hematology,12230-9,Macrophages/100 leukocytes in Body fluid by Manual count,false,30427-9,Macrophages/100 leukocytes in Body fluid
51429,Mesothelial cells/100 leukocytes in Body fluid,Mesothelial cells,Other Body Fluid,Hematology,28544-5,,true,28544-5,Mesothelial cells/100 leukocytes in Body fluid
51430,Metamyelocytes/100 leukocytes in Body fluid,Metamyelocytes,Other Body Fluid,Hematology,17801-2,,true,17801-2,Metamyelocytes/100 leukocytes in Body fluid
51431,Monocytes/100 leukocytes in Body fluid,Monos,Other Body Fluid,Hematology,10330-9,Monocytes/100 leukocytes in Body fluid by Manual count,false,26487-9,Monocytes/100 leukocytes in Body fluid
51432,Myelocytes/100 leukocytes in Body fluid,Myelocytes,Other Body Fluid,Hematology,17800-4,,true,17800-4,Myelocytes/100 leukocytes in Body fluid
51433,Nucleated erythrocytes/100 leukocytes [Ratio] in Body fluid,NRBC,Other Body Fluid,Hematology,,,false,49229-8,Nucleated erythrocytes/100 leukocytes [Ratio] in Body fluid
51434,Other cells/100 leukocytes in Body fluid,Other Cell,Other Body Fluid,Hematology,,,false,76350-8,Other cells/100 leukocytes in Body fluid
51435,Plasma cells/100 leukocytes in Body fluid,Plasma,Other Body Fluid,Hematology,17803-8,,true,17803-8,Plasma cells/100 leukocytes in Body fluid
51436,Polymorphonuclear cells/100 leukocytes in Body fluid,Polys,Other Body Fluid,Hematology,26518-1,,true,26518-1,Polymorphonuclear cells/100 leukocytes in Body fluid
51437,Promyelocytes/100 leukocytes in Body fluid,Promyelocytes,Other Body Fluid,Hematology,17799-8,,true,17799-8,Promyelocytes/100 leukocytes in Body fluid
51438,Erythrocytes [#/volume] in Body fluid,"RBC, Other Fluid",Other Body Fluid,Hematology,26455-6,,true,26455-6,Erythrocytes [#/volume] in Body fluid
51439,Leukocytes [#/volume] in Body fluid,"WBC, Other Fluid",Other Body Fluid,Hematology,26466-3,Leukocytes [#/volume] in Body fluid,false,,
51440,Variant lymphocytes/100 leukocytes in Pleural fluid,Atypical Lymphocytes,Pleural,Hematology,33370-8,,true,33370-8,Variant lymphocytes/100 leukocytes in Pleural fluid
51441,Band form neutrophils/100 leukocytes in Pleural fluid by Manual count,Bands,Pleural,Hematology,,,false,99604-1,Band form neutrophils/100 leukocytes in Pleural fluid by Manual count
51442,Basophils/100 leukocytes in Pleural fluid,Basophils,Pleural,Hematology,35070-2,,true,35070-2,Basophils/100 leukocytes in Pleural fluid
51443,Blasts/100 leukocytes in Pleural fluid,Blasts,Pleural,Hematology,,,false,33373-2,Blasts/100 leukocytes in Pleural fluid
51444,Eosinophils/100 leukocytes in Pleural fluid,Eosinophils,Pleural,Hematology,30379-2,,true,30379-2,Eosinophils/100 leukocytes in Pleural fluid
51445,Hematocrit [Volume Fraction] of Pleural fluid,"Hematocrit, Pleural",Pleural,Hematology,,,false,70169-8,Hematocrit [Volume Fraction] of Pleural fluid
51446,Lymphocytes/100 leukocytes in Pleural fluid,Lymphocytes,Pleural,Hematology,26481-2,,true,26481-2,Lymphocytes/100 leukocytes in Pleural fluid
51447,Macrophages/100 leukocytes in Pleural fluid by Manual count,Macrophages,Pleural,Hematology,40520-9,,true,40520-9,Macrophages/100 leukocytes in Pleural fluid by Manual count
51448,Mesothelial cells/100 leukocytes in Pleural fluid,Mesothelial Cells,Pleural,Hematology,30431-1,,true,30431-1,Mesothelial cells/100 leukocytes in Pleural fluid
51449,Metamyelocytes/100 leukocytes in Body fluid,Metamyelocytes,Pleural,Hematology,,,false,17801-2,Metamyelocytes/100 leukocytes in Body fluid
51450,Monocytes/100 leukocytes in Pleural fluid,Monos,Pleural,Hematology,33362-5,,true,33362-5,Monocytes/100 leukocytes in Pleural fluid
51451,Myelocytes/100 leukocytes in Body fluid,Myelocytes,Pleural,Hematology,,,false,17800-4,Myelocytes/100 leukocytes in Body fluid
51452,Nucleated erythrocytes/100 cells in Pleural fluid,NRBC,Pleural,Hematology,,,false,70170-6,Nucleated erythrocytes/100 cells in Pleural fluid
51453,Leukocytes other/100 leukocytes in Pleural fluid,Other,Pleural,Hematology,,,false,30408-9,Leukocytes other/100 leukocytes in Pleural fluid
51454,Plasma cells/100 leukocytes in Pleural fluid by Manual count,Plasma Cells,Pleural,Hematology,40522-5,,true,40522-5,Plasma cells/100 leukocytes in Pleural fluid by Manual count
51455,Polymorphonuclear cells/100 leukocytes in Pleural fluid,Polys,Pleural,Hematology,26519-9,,true,26519-9,Polymorphonuclear cells/100 leukocytes in Pleural fluid
51456,Promyelocytes/100 leukocytes in Body fluid,Promyelocytes,Pleural,Hematology,,,false,17799-8,Promyelocytes/100 leukocytes in Body fluid
51457,Erythrocytes [#/volume] in Pleural fluid,"RBC, Pleural",Pleural,Hematology,26456-4,,true,26456-4,Erythrocytes [#/volume] in Pleural fluid
51458,Leukocytes [#/volume] in Pleural fluid,"WBC, Pleural",Pleural,Hematology,26467-1,Leukocytes [#/volume] in Pleural fluid,false,,
51459,Immature cells/100 leukocytes in Blood,Young Cells,Pleural,Hematology,,,false,55433-7,Immature cells/100 leukocytes in Blood
51460,Hemoglobin.gastrointestinal [Presence] in Stool,"Blood, Occult",Stool,Hematology,2335-8,,true,2335-8,Hemoglobin.gastrointestinal [Presence] in Stool
51461,Ammonium urate crystals [#/area] in Urine sediment by Microscopy high power field,Ammonium Biurate,Urine,Hematology,12454-5,Urate crystals amorphous [Presence] in Urine sediment by Light microscopy,false,25144-7,Ammonium urate crystals [#/area] in Urine sediment by Microscopy high power field
51462,Crystals.amorphous [Presence] in Urine sediment by Light microscopy,Amorphous Crystals,Urine,Hematology,8246-1,Amorphous sediment [Presence] in Urine sediment by Light microscopy,false,60340-7,Crystals.amorphous [Presence] in Urine sediment by Light microscopy
51463,Bacteria [#/area] in Urine sediment by Microscopy high power field,Bacteria,Urine,Hematology,5769-5,,true,5769-5,Bacteria [#/area] in Urine sediment by Microscopy high power field
51464,Bilirubin.total [Presence] in Urine by Test strip,Bilirubin,Urine,Hematology,5770-3,,true,5770-3,Bilirubin.total [Presence] in Urine by Test strip
51465,Bilirubin crystals [Presence] in Urine sediment by Light microscopy,Bilirubin Crystals,Urine,Hematology,5771-1,,true,5771-1,Bilirubin crystals [Presence] in Urine sediment by Light microscopy
51466,Blood [Presence] in Urine by Visual,Blood,Urine,Hematology,5794-3,Hemoglobin [Presence] in Urine by Test strip,false,53963-5,Blood [Presence] in Urine by Visual
51467,Broad casts [#/area] in Urine sediment by Microscopy low power field,Broad Casts,Urine,Hematology,18487-9,,true,18487-9,Broad casts [#/area] in Urine sediment by Microscopy low power field
51468,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy,Calcium Carbonate Crystals,Urine,Hematology,5773-7,,true,5773-7,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy
51469,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,Calcium Oxalate Crystals,Urine,Hematology,5774-5,,true,5774-5,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy
51470,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy,Calcium Phosphate Crystals,Urine,Hematology,5775-2,,true,5775-2,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy
51471,Mixed cellular casts [#/area] in Urine sediment by Microscopy low power field,Cellular Cast,Urine,Hematology,,,false,38995-7,Mixed cellular casts [#/area] in Urine sediment by Microscopy low power field
51472,Cholesterol crystals [Presence] in Urine sediment by Light microscopy,Cholesterol Crystals,Urine,Hematology,5777-8,,true,5777-8,Cholesterol crystals [Presence] in Urine sediment by Light microscopy
50800,,SPECIMEN TYPE,BLOOD,BLOOD GAS,,,true,,
50801,Alveolar-arterial oxygen Partial pressure difference,Alveolar-arterial Gradient,Blood,Blood Gas,19991-9,,true,19991-9,Alveolar-arterial oxygen Partial pressure difference
50802,Base excess in Blood by calculation,Base Excess,Blood,Blood Gas,11555-0,,true,11555-0,Base excess in Blood by calculation
50803,Bicarbonate [Moles/volume] in Blood,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,1959-6,,true,1959-6,Bicarbonate [Moles/volume] in Blood
50804,"Carbon dioxide, total [Moles/volume] in Blood by calculation",Calculated Total CO2,Blood,Blood Gas,34728-6,,true,34728-6,"Carbon dioxide, total [Moles/volume] in Blood by calculation"
50805,Carboxyhemoglobin/Hemoglobin.total in Blood,Carboxyhemoglobin,Blood,Blood Gas,20563-3,,true,20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood
50806,Chloride [Moles/volume] in Blood,"Chloride, Whole Blood",Blood,Blood Gas,2069-3,,true,2069-3,Chloride [Moles/volume] in Blood
50807,,Comments,Blood,Blood Gas,,,true,,
50808,Calcium.ionized [Moles/volume] in Blood,Free Calcium,Blood,Blood Gas,1994-3,,true,1994-3,Calcium.ionized [Moles/volume] in Blood
50809,Glucose [Mass/volume] in Blood,Glucose,Blood,Blood Gas,2339-0,,true,2339-0,Glucose [Mass/volume] in Blood
50810,Hematocrit [Volume Fraction] of Blood by Estimated,"Hematocrit, Calculated",Blood,Blood Gas,20570-8,Hematocrit [Volume Fraction] of Blood,false,48703-3,Hematocrit [Volume Fraction] of Blood by Estimated
50811,Hemoglobin [Mass/volume] in Blood,Hemoglobin,Blood,Blood Gas,718-7,,true,718-7,Hemoglobin [Mass/volume] in Blood
50812,,Intubated,Blood,Blood Gas,,,true,,
50813,Lactate [Moles/volume] in Blood,Lactate,Blood,Blood Gas,32693-4,,true,32693-4,Lactate [Moles/volume] in Blood
50814,Methemoglobin/Hemoglobin.total in Blood,Methemoglobin,Blood,Blood Gas,2614-6,,true,2614-6,Methemoglobin/Hemoglobin.total in Blood
50815,Inhaled oxygen flow rate,O2 Flow,Blood,Blood Gas,3151-8,,true,3151-8,Inhaled oxygen flow rate
50816,Inhaled oxygen concentration,Oxygen,Blood,Blood Gas,19994-3,Oxygen/Total gas setting [Volume Fraction] Ventilator,false,3150-0,Inhaled oxygen concentration
50817,Oxygen saturation in Blood,Oxygen Saturation,Blood,Blood Gas,20564-1,,true,20564-1,Oxygen saturation in Blood
50818,Carbon dioxide [Partial pressure] in Blood,pCO2,Blood,Blood Gas,11557-6,,true,11557-6,Carbon dioxide [Partial pressure] in Blood
50819,Positive end expiratory pressure setting Ventilator,PEEP,Blood,Blood Gas,20077-4,,true,20077-4,Positive end expiratory pressure setting Ventilator
50820,pH of Blood,pH,Blood,Blood Gas,11558-4,,true,11558-4,pH of Blood
50821,Oxygen [Partial pressure] in Blood,pO2,Blood,Blood Gas,11556-8,,true,11556-8,Oxygen [Partial pressure] in Blood
50822,Potassium [Moles/volume] in Blood,"Potassium, Whole Blood",Blood,Blood Gas,6298-4,,true,6298-4,Potassium [Moles/volume] in Blood
50823,Inhaled oxygen concentration,Required O2,Blood,Blood Gas,,,false,3150-0,Inhaled oxygen concentration
50824,Sodium [Moles/volume] in Blood,"Sodium, Whole Blood",Blood,Blood Gas,2947-0,,true,2947-0,Sodium [Moles/volume] in Blood
50825,Body temperature,Temperature,Blood,Blood Gas,,,false,8310-5,Body temperature
50826,Tidal volume setting Ventilator,Tidal Volume,Blood,Blood Gas,20112-9,,true,20112-9,Tidal volume setting Ventilator
50827,Ventilation rate by Carbon dioxide measurement,Ventilation Rate,Blood,Blood Gas,,,false,76526-3,Ventilation rate by Carbon dioxide measurement
50828,Ventilation mode Ventilator,Ventilator,Blood,Blood Gas,,,false,20124-4,Ventilation mode Ventilator
50829,[Type] of Body fluid,Fluid Type,Other Body Fluid,Blood Gas,14725-6,[Type] of Body fluid,false,,
50830,Carbon dioxide [Partial pressure] in Body fluid,"pCO2, Body Fluid",Other Body Fluid,Blood Gas,2023-0,,true,2023-0,Carbon dioxide [Partial pressure] in Body fluid
50831,pH of Body fluid,pH,Other Body Fluid,Blood Gas,2748-2,,true,2748-2,pH of Body fluid
50832,Oxygen [Partial pressure] in Body fluid,"pO2, Body Fluid",Other Body Fluid,Blood Gas,2706-0,,true,2706-0,Oxygen [Partial pressure] in Body fluid
50833,Potassium [Moles/volume] in Body fluid,Potassium,Other Body Fluid,Blood Gas,2821-7,,true,2821-7,Potassium [Moles/volume] in Body fluid
50834,Sodium [Moles/volume] in Body fluid,"Sodium, Body Fluid",Other Body Fluid,Blood Gas,2950-4,,true,2950-4,Sodium [Moles/volume] in Body fluid
50835,Albumin [Mass/volume] in Peritoneal fluid,"Albumin, Ascites",Ascites,Chemistry,1749-1,,true,1749-1,Albumin [Mass/volume] in Peritoneal fluid
50836,Amylase [Enzymatic activity/volume] in Peritoneal fluid,"Amylase, Ascites",Ascites,Chemistry,1797-0,,true,1797-0,Amylase [Enzymatic activity/volume] in Peritoneal fluid
50837,Bicarbonate [Moles/volume] in Peritoneal fluid,"Bicarbonate, Ascites",Ascites,Chemistry,54360-3,,true,54360-3,Bicarbonate [Moles/volume] in Peritoneal fluid
50838,Bilirubin.total [Mass/volume] in Peritoneal fluid,"Bilirubin, Total, Ascites",Ascites,Chemistry,14422-0,,true,14422-0,Bilirubin.total [Mass/volume] in Peritoneal fluid
50839,Chloride [Moles/volume] in Peritoneal fluid,"Chloride, Ascites",Ascites,Chemistry,33366-6,,true,33366-6,Chloride [Moles/volume] in Peritoneal fluid
50840,Cholesterol [Mass/volume] in Peritoneal fluid,"Cholesterol, Ascites",Ascites,Chemistry,14441-0,,true,14441-0,Cholesterol [Mass/volume] in Peritoneal fluid
50841,Creatinine [Mass/volume] in Peritoneal fluid,"Creatinine, Ascites",Ascites,Chemistry,12191-3,,true,12191-3,Creatinine [Mass/volume] in Peritoneal fluid
50842,Glucose [Mass/volume] in Peritoneal fluid,"Glucose, Ascites",Ascites,Chemistry,2347-3,,true,2347-3,Glucose [Mass/volume] in Peritoneal fluid
50843,Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry,2531-2,,true,2531-2,Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid
50844,Lipase [Enzymatic activity/volume] in Peritoneal fluid,"Lipase, Ascites",Ascites,Chemistry,32722-1,,true,32722-1,Lipase [Enzymatic activity/volume] in Peritoneal fluid
50845,,"Miscellaneous, Ascites",Ascites,Chemistry,,,true,,
