celllabel,count,class
"CL Flush: Non-Tunneled, Coated Catheter IJ R 7F",33,
Output (mL)-Urethral Catheter Latex 14 Fr.,33,
Zosyn,33,
Volume (mL)-potassium chloride 20 mEq/100mL IVPB premix,33,
"Enteral Tube Intake: Nasoduodenal Nostril, L",33,
PO ORAL,33,
Volume Infused (mL),32,
Propofol v2-IN,32,
D5W  w/150 mEq NaHCO3 1000 ml,32,
Volume Infused (ml)-HYDROmorphone (DILAUDID) 0.4 mg/mL in sodium chloride 0.9% 30 mL PCA infusion,32,
#1:,31,
Number of Bowel Movements Output,31,
Volume (mL) Heparin,31,
Estimated Blood Loss,31,
Volume (mL) Propofol ,31,
dexmedetomidine,31,
CL Flush: Non-Tunneled IJ ,31,
"Volume (mL)-aztreonam (AZACTAM) 1,000 mg in sodium chloride 0.9 % 100 mL IVPB",31,
Per IV Flush: Antecubital R 18 gauge,31,
"Output, Gastric Drainage Amount",30,
Output Y (ml)-Chest Tube Y - a #1 Left Mid b #1 Right Mid,30,
lidocaine,30,
furosemide,30,
Per IV Flush: Hand L 20 gauge,30,
Miscellaneous IV Other (volume),29,
Enteral Peptamen AF,28,
Other Intake,28,
Heparin,28,
Volume (mL) Nitroglycerin ,28,
Enteral free water flush,27,
Tube Feeding Residual Discarded (mL),27,
Volume (ml) Fentanyl,27,
Volume (ml) Milrinone,27,
PO LIQUIDS,27,
Output (ml)-Chest Tube #1 Left Mid,27,
fentanyl,27,
Enteral Tube Intake,26,
Levo,26,
Vascular 4 Flush Amount (mL),26,
Mixed Urine/Stool Volume,26,
Volume (mL)-vancomycin (VANCOCIN) IVPB 750 mg/150 ml premix,26,
PO po intake,26,
Per IV Flush: Upper arm R 20 gauge,25,
0.9 NS_c,25,
CL PICC Total Lumen Flushes 2,25,
SN Urine Output(ml),25,
ativan,25,
INSULIN,25,
Output (ml)-Chest Tube #1 Pleural Right Anterior;Lower,24,
Enteral tube feed,24,
Volume (ml) Diltiazem,24,
Enteral JEVITY 1.2,24,
CL Flush: PICC Brachial R,24,
JP Drain Total,24,
Levophed,24,
Per IV Flush: Forearm R,24,
Enteral Jevity 1.0,24,
Enteral meds/flush,23,
Output (mL)-Urethral Catheter 14 Fr.,23,
Bulb #1,23,
Output (mL)-Urethral Catheter Non-latex;Temperature probe 16 Fr.,23,
Liquid Stool,23,
Intake (mL)-NG/OG Tube Nasogastric,22,
Enteral peptamen AF,22,
Volume (mL)-sodium chloride (NORMAL SALINE) 0.9 % bolus 500 mL,22,
Volume (ml) Nicardipine,22,
IV Antibiotics,22,
Volume (mL)-dextrose 5 % and 0.9 % sodium chloride with KCl 20 mEq/L,22,
Volume (mL)-meropenem (MERREM) 1 g in sodium chloride 0.9 % 100 mL IVPB,22,
NS  w/20 mEq KCL 1000 ml,21,
Per IV Flush: Forearm L 22 gauge,21,
"Urine, void:",21,
"Volume (mL)-sodium chloride 0.45 % 1,000 mL with potassium chloride 40 mEq infusion",21,
"Volume (mL)-vancomycin 1,250 mg in sodium chloride 0.9% 250 mL IVPB",21,
Enteral TF,21,
Enteral NOVASOURCE RENAL,21,
Fentanyl ,20,
Per IV Flush: Wrist L 20 gauge,20,
Enteral Glucerna,20,
Enteral Other,20,
GI Tube 1 Drainage Amount,20,
Enteral NG/GT,20,
Per IV Flush: Forearm R 18 gauge,20,
Volume (mL)-sodium chloride 0.9 % with KCl 20 mEq infusion,20,
Output (ml)-Chest Tube #1 Right,20,
OthrOutputTotal,20,
Chest Tube,20,
Volume (ml) Dexmedetomidine,20,
Volume (mL) Labetalol,20,
Chest Tube B Amount,20,
Volume (ml) Heparin,19,
Volume (ml) Magnesium Sulfate,19,
Enteral free water flushes,19,
Rectal Tube,19,
Volume (mL)-levofloxacin (LEVAQUIN) IVPB 750 mg,19,
5% Albumin,18,
Enteral tube flush,18,
Ileostomy,18,
generic,18,
Wound Vac Total,18,
"Intake, GI Tube Flush",18,
FENTANYL,17,
Precedex,17,
Volume Infused (ml)-morphine PCA 5 mg/mL,17,
Enteral meds,17,
chest tube,17,
DOPamine,17,
Output (mL)-NG/OG Tube Nasogastric Left nostril,17,
Chest Tube #1,17,
D5.45NS+KCl,17,
Output Amt-Chest Tube A,17,
VASOPRESSIN,16,
Output Amt-Blake Drain A,16,
Bulb #2,16,
intake,16,
Diltiazem-IN,16,
#2:,16,
Bulb #3,16,
CL Flush: Coated Catheter IJ ,16,
ZOSYN,16,
24 HR TOTAL INTAKE  0700-0659	Yes,16,
24 HR TOTAL OUTPUT  0700-0659	Yes,16,
versed,16,
Other Output,16,
L Pleural CT,16,
PO cl liq,16,
% Snack Eaten,16,
Tube Feeding Flushes (mL),16,
EPINEPHrine,15,
Total out,15,
Neo Ostomy #1 Output,15,
Enteral Tube Feeding,15,
Volume Infused (ml)-morphine 2 mg/mL in sodium chloride 0.9% 30 mL PCA infusion,15,
Enteral other,15,
D5 0.45 NS  w/40 mEq KCL 1000 ml,15,
Per IV Flush: Antecubital R 16 gauge,15,
Enteral Water Flush,15,
Flush Volume In               ml,15,
"Volume (mL)-ceFEPIme (MAXIPIME) 1,000 mg in sodium chloride 0.9 % 100 mL IVPB",14,
Volume (ml) Pantoprazole,14,
Volume (mL)-sodium chloride 0.45 % with KCl 20 mEq infusion,14,
Colostomy,14,
Output Amt-Hemovac Drain,14,
1/2 NS,14,
CL Flush: Non-Tunneled IJ R,14,
NS c IVF,14,
D5NS Volume,14,
Enteral tube feeding,14,
Lipid Intake Amount,13,
PO po,13,
Bupivicaine epidural,13,
D10,13,
PROTONIX,13,
NOREPINEPHRINE,13,
Volume (mL)-meropenem (MERREM) 500 mg in sodium chloride 0.9 % 100 mL IVPB,13,
Hemodialysis Intake (mL),13,
Volume (mL)-piperacillin-tazobactam (ZOSYN) IVPB 2.25 g,13,
Volume (mL)-penicillin G potassium 2.5 Million Units in dextrose 5 % 100 mL IVPB,13,
Volume (mL)-dextrose 5 % / sodium chloride 0.9% with KCl 20 mEq infusion,13,
SN Total Blood Product Volume(ml),13,
"Volume (mL)-cefTRIAXone (ROCEPHIN) 1,000 mg in sodium chloride 0.9 % 100 mL IVPB",13,
24 HR TOTAL OUTPUT  0700-0659,13,
24 HR TOTAL INTAKE  0700-0659,13,
Volume (mL)-levofloxacin (LEVAQUIN) IVPB 500 mg,12,
D5NS  w/20 mEq KCL,12,
"Volume Infused (ml)-morphine (ASTRAMORPH PF) 100 mcg/mL, bupivacaine PF (SENSORCAINE-MPF) 0.125 % in sodium chloride 0.9 % 100 mL epidural infusion",12,
Insulin Gtt,12,
Volume (mL)-valproate (DEPACON) 500 mg in dextrose 5 % 50 mL IVPB,12,
octreotide,12,
"Volume (mL)-sodium chloride (NORMAL SALINE) 0.9 % bolus 1,000 mL",12,
Volume (ml) Nitroglycerin,12,
CL Flush: Introducer sheath IJ R,12,
Output (ml)-Chest Tube #1 Pleural Left Lower;Anterior,12,
Enteral Free water,12,
Enteral Meds,12,
Formula Volume In         ml,12,
CL Flush: IJ L,12,
D5NS  w/20 mEq KCL 1000 ml,11,
Per IV Flush: Midline Brachial R 20 gauge,11,
PROPOFOL,11,
Output (mL)-External Urinary Catheter,11,
D5 0.45 NS  w/20 mEq KCL and 10 mmol (as PO4) KPO4,11,
Volume (mL)-aztreonam (AZACTAM) 1 g in dextrose 5 % 50 mL IVPB,11,
Volume (mL)-albumin human (SPA) 25 % injection 25 g,11,
Volume (mL)-cefTRIAXone (ROCEPHIN) 1 g in sodium chloride 0.9 % 100 mL IVPB,11,
foley,11,
Contrast amount,11,
Volume (mL)-0.9 % NaCl with KCl 40 mEq / L  infusion,11,
Volume (mL)-dextrose 5 % / sodium chloride 0.9% infusion,11,
Volume (mL)-sodium chloride 0.45 % infusion,11,
Enteral water flush,11,
PANTOPRAZOLE,11,
Volume (mL)-magnesium sulfate in 5 % dextrose IVPB 1 g,11,
"Chest Tube Output: Pleural R Anterior, Lateral",11,
Volume (mL)-vancomycin (VANCOCIN) IVPB 1000 mg/200 mL premix,11,
Total in,11,
Potassium,11,
PO PO FLUID,11,
Volume (mL)-dextrose 10 % infusion,11,
Oral Intake Amount,11,
"Intake, Tube Feeding Amount",11,
CL Flush: Pressure/power inj IJ L,11,
Output Amt-Chest Tube B,11,
"CL Flush: Non-Tunneled, Pressure/power inj IJ R 7f",11,
Per IV Flush: Hand R 16 gauge,11,
Output (mL)-Urethral Catheter Temperature probe 16 Fr.,10,
CL Flush: Coated Catheter IJ L,10,
Cardizem,10,
Per IV Flush: Antecubital L,10,
Banana Bag,10,
PO clear liquids,10,
"Volume (mL)-ceFAZolin 2,000 mg in sodium chloride 0.9% 100 mL IVPB",10,
Per IV Flush: Upper arm L 20 gauge,10,
Free Water,10,
0.45 NS  w/20 mEq KCL,10,
Volume (mL)-cefepime (MAXIPIME) 2 g in sodium chloride 0.9 % 100 mL IVPB,10,
LEVOPHED,10,
fentaNYL,10,
vasopressin,10,
Volume (mL)-clindamycin (CLEOCIN) IVPB 900 mg,10,
Enteral Tube Flush,10,
Enteral ng/gt,10,
Volume (mL)-albumin human 5 % injection 12.5 g,10,
Volume (mL)-metroNIDAZOLE (FLAGYL) IVPB 500 mg,10,
Volume (mL)-azithromycin (ZITHROMAX) 500 mg in sodium chloride 0.9 % 250 mL IVPB,10,
EPTIFIBATIDE,10,
"CL Flush: Non-Tunneled, Coated Catheter IJ R",10,
PO Fluid intake,9,
pantoprazole,9,
0.45 NS  w/75 mEq NaHCO3,9,
R JP,9,
Volume (mL)-potassium chloride IVPB 20 mEq 100 mL,9,
Per IV Flush: Hand L 18 gauge,9,
jp,9,
Volume (mL)-levofloxacin (LEVAQUIN) in dextrose 5% premix IVPB 500 mg,9,
PO Regular,9,
25% Albumin 50 ml,9,
Volume (mL)-piperacillin-tazobactam (ZOSYN) 2.25 g in sodium chloride 0.9 % 100 mL IVPB,9,
"Volume (mL)-sodium bicarbonate 150 mEq in sterile water 1,000 mL infusion",9,
Volume (mL)-fat emulsion 20 % infusion,9,
Cardene,9,
Volume (ml)-Transfuse - Leukoreduced Packed RBCs,9,
Enteral Fibersource HN,9,
zosyn,9,
SN Wound Drainage Volume(ml),9,
Enteral OGT flush,9,
Crystalloid,9,
"Volume (mL)-sodium chloride 0.9 % 1,000 mL IV bolus",9,
Volume (mL)-piperacillin-tazobactam (ZOSYN) FOUR HOUR EXTENDED INFUSION IVPB 3.375 g,9,
Volume (mL)-famotidine (PEPCID) IVPB 20 mg,8,
Enteral JEVITY 1.5,8,
Volume (mL)-clindamycin (CLEOCIN) IVPB 600 mg,8,
PO ADA diet,8,
Volume (mL)-magnesium sulfate 1 g in dextrose 5% 100 mL IVPB premix,8,
Volume Infused (ml)-fentaNYL PCA 50 mcg/mL,8,
Volume (mL)-sodium chloride 0.9 % 500 mL IV bolus,8,
TPA,8,
Magnesium,8,
OGT flush,8,
D51/4NS IVF,8,
"Volume (mL)-vancomycin (VANCOCIN) 1,500 mg in dextrose 5 % 250 mL IVPB",8,
NS 0.9% Volume,8,
Volume (mL)-piperacillin-tazobactam (ZOSYN) 4.5 g in sodium chloride 0.9 % 100 mL IVPB,8,
Vancomycin,8,
"Volume (mL)-vancomycin (VANCOCIN) 1,000 mg in sodium chloride 0.9 % 250 mL IVPB",8,
Volume (mL)-ampicillin-sulbactam (UNASYN) 3 g in sodium chloride 0.9 % 100 mL IVPB,8,
KPhos,8,
LEVO,8,
merrem,8,
PO oral intake,7,
Enteral TUBE FEEDING,7,
unmeasured voids,7,
Enteral TUBE FLUSH,7,
HemodialysisOut,7,
Volume (mL)-piperacillin-tazobactam (ZOSYN) 3.375 g in sodium chloride 0.9 % 100 mL thirty minute IVPB,7,
"Volume (ml) Heparin-heparin 25,000 units in dextrose 500 mL infusion",7,
Output (mL)-NG/OG/Feeding Tube Nasogastric 16 Fr. Right nare,7,
emesis,7,
Volume (mL)-vancomycin in dextrose premix 1 g,7,
DOBUTAMINE,7,
Volume (mL)-levETIRAcetam (KEPPRA) 500 mg in sodium chloride 0.9 % 100 mL IVPB,7,
Meropenem,7,
OthrIntakeTotal,7,
Per IV Flush: Antecubital R 22 gauge,7,
CL Hemo Total Flush,7,
Per IV Flush: Wrist L 18 gauge,7,
Volume-Transfuse plasma,7,
"Volume (mL)-sodium chloride 0.9 % bolus 1,000 mL",7,
Volume (mL)-clindamycin 600 mg in sodium chloride 0.9% 50 mL IVPB,7,
Liquid stool:,7,
Volume (mL)-dextrose 5 % infusion,7,
Per IV Flush: Forearm L,7,
Output (mL)-Urethral Catheter Latex;Straight-tip 14 Fr.,7,
CL Flush: PICC Brachial L,7,
Per IV Flush: Forearm R 22 gauge,7,
Per IV Flush: Antecubital R,7,
Volume (mL)-sodium chloride 0.9 % bolus 500 mL,7,
Per IV Flush: Upper arm L 22 gauge,6,
Urine Output-FOLEY,6,
Other In,6,
D5 0.45 NS  w/20 mEq KCL 1000 ml,6,
D5 1/2 NS w/KCl 20mEq Volume,6,
Volume (mL)-ampicillin (OMNIPEN) 2 g in sodium chloride 0.9 % 100 mL IVPB,6,
VANCOMYCIN,6,
Protonix,6,
Volume (ml) Morphine,6,
D5 0.45 NS  w/40 mEq KCL,6,
Volume (mL)-cefTRIAXone (ROCEPHIN) 1 g in dextrose 5 % 50 mL IVPB,6,
CL Flush: PICC Basilic R,6,
Volume (mL)-piperacillin-tazobactam (ZOSYN) in dextrose 5% premix IVPB 3.375 g,6,
Volume-Transfuse platelet pheresis,6,
Volume (mL)-sodium chloride 0.9 % flush IVPB 250 mL,6,
Volume Eptifibatide,6,
Volume (mL)-ceFAZolin (ANCEF) in sod chl 2 g IVPB premix,6,
Volume (ml) Vasopressin,6,
Drain 3 Output mL,6,
Blood (non-drain),5,
Output (mL)-Urethral Catheter Non-latex 18 Fr.,5,
Enteral nutren 1.5,5,
po,5,
KCL,5,
PO  ,5,
D5W  w/20 mEq KCL,5,
Per IV Flush: Wrist R,5,
Per IV Flush: Antecubital L 22 gauge,5,
Vascular 5 Flush Amount (mL),5,
TPN w/fat emulsion,5,
Emesis Count,5,
CL Flush: Non-Tunneled IJ R 9fr,5,
IV Admix,5,
Per IV Flush: Forearm L 16 gauge,5,
"Surgical Drain, Tube Output: Bulb-closed system Ne",5,
Per IV Flush: Wrist R 20 gauge,5,
Per IV Flush: Wrist R 18 gauge,5,
"CL Flush: Non-Tunneled, Coated Catheter IJ R 7Fr",5,
Enteral Nutren,5,
Urine Occurrence,5,
Volume (mL)-0.45 % sodium chloride with KCl 20 mEq infusion,5,
"Volume (mL)-vancomycin (VANCOCIN) 1,750 mg in dextrose 5 % 500 mL IVPB",5,
"Volume (mL)-vancomycin (VANCOCIN) 1,250 mg in dextrose 5 % 250 mL IVPB",5,
Lorazepam Volume,5,
Volume (mL)-SODIUM CHLORIDE 0.9 % IV SOLN Pyxis Override,5,
Output (mL)-Straight Catheter,5,
NS  w/40 mEq KCL,5,
Volume (ml) Furosemide,5,
IV/IVPB:,5,
Volume (mL)-sodium chloride (NORMAL SALINE) 0.9 % bolus 250 mL,5,
Volume (mL)-magnesium sulfate in sterile water 2 g IVPB premix,5,
PO Oral Intake,4,
IV Antibiotics_c,4,
Per IV Flush: EJ L 20 gauge,4,
Blood Products,4,
Volume (mL)-Dextran 40 in sodium chloride (DEXTRAN 40 IN NS) 10-0.9 % infusion,4,
Phenylephrine (NS)-IN,4,
CL Flush: Non-Tunneled IJ R 8fr,4,
Vascular 6 Flush Amount (mL),4,
Volume (mL)-fluconazole (DIFLUCAN) IVPB 200 mg,4,
0.9NS with 20mEq KCL_c,4,
Emesis Output,4,
SN IV Solution Volume (ml),4,
CARDENE,4,
Enteral,4,
Per IV Flush: Basilic R 20 gauge,4,
Enteral Vital High Protein,4,
bumetanide,4,
Volume (mL)-fluconazole (DIFLUCAN) IVPB 400 mg,4,
Volume (mL)-vancomycin (VANCOCIN) 750 mg in dextrose 5 % 250 mL IVPB,4,
Volume (mL)-potassium chloride IVPB 10 mEq 100 mL,4,
NS bolus,4,
Volume (mL)-dextrose 5 % solution,4,
Volume (mL)-levofloxacin (LEVAQUIN) in dextrose 5% premix IVPB 750 mg,4,
Protonix gtt,4,
OGT,4,
Volume (ml)  Aminocaproic Acid,4,
Albumin 5%,4,
"Volume (mL)-dextrose 5 % / sodium chloride 0.45% 1,000 mL with potassium chloride 40 mEq, magnesium sulfate 5 g infusion",4,
Volume (mL)-magnesium sulfate 2 g in sodium chloride 0.9% IVPB,4,
NITROGLYCERIN,3,
"Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 50 mEq infusion",3,
Thoracentesis Output,3,
cardene,3,
Volume (mL)-levETIRAcetam (KepPRA) 500 mg in sodium chloride 0.9 % 100 mL IVPB,3,
PO Diet,3,
Volume Infused (ml)-fentaNYL (SUBLIMAZE) 2 mcg/mL - bupivacaine (SENSORCAINE MPF) 0.125% premix epidural infusion,3,
IVF,3,
Tube Feeding Amount,3,
"Volume (mL)-ceFAZolin (ANCEF) 1,000 mg in sodium chloride 0.9 % 100 mL IVPB",3,
PO meds,3,
Volume (mL)-albumin human 5 % injection 25 g,3,
Volume (ml) Naloxone,3,
D5 1/2 NS Volume,3,
Volume (mL)-albumin human (SPA) 25 % injection 12.5 g,3,
Foley Cath,3,
Volume (mL)-potassium chloride 10 mEq in 50 mL *CENTRAL LINE* IVPB,3,
Nasogastric Tube - Intake,3,
Drainage Total,3,
SN Blood Loss(ml),3,
Volume (ml) EPTIFIBATIDE,3,
Volume (mL)-cefepime (MAXIPIME) 1 g in sodium chloride 0.9 % 100 mL IVPB,3,
Urine Output (mL)-Urethral Catheter,3,
DOBUTamine,3,
OGT Flush,3,
Volume (mL)-piperacillin-tazobactam (ZOSYN) 3.375 g in sodium chloride 0.9 % 100 mL FOUR HOUR EXTENDED INFUSION IVPB,3,
Volume (mL)-sodium chloride 0.9 % 250 mL IV bolus,3,
Volume (mL)-cefTRIAXone (ROCEPHIN) 2 g in sodium chloride 0.9 % 100 mL IVPB,3,
PO Fluid,3,
#3:,3,
#4:,3,
Volume (mL) Amiodarone,3,
Output (mL)-Urethral Catheter,3,
Volume (mL) Dopamine,3,
"Gastric Tube Output: Nasogastric Nostril, L",3,
Volume (mL)-potassium chloride 10 mEq in 50 mL IVPB,3,
other,3,
"CL Flush: Non-Tunneled dialysis, Pressure/power in",3,
Enteral OTHER,3,
Chemotherapy Other (Volume),3,
Chest Tube Drainage Total,2,
Volume (mL)-albumin human 5 % injection 12.5-25 g,2,
Albumin Intake,2,
Volume (ml) Abciximab,2,
CL Flush: Introducer sheath Subclavian L,2,
Per IV Flush: Upper arm L 18 gauge,2,
Volume (mL)-potassium chloride IVPB 20 mEq,2,
Output (mL)-NG/OG/Feeding Tube Nasogastric Right nare,2,
Volume (mL)-SODIUM CHLORIDE 0.9 % IV SOLN,2,
Per IV Flush: Hand L 22 gauge,2,
#5:,2,
Lactated Ringers Volume,2,
Per IV Flush: Hand L,2,
NS BOLUS,2,
Output Amt-Wound Vac,2,
Volume (ml) Nitroprusside,2,
CT,2,
Vasopressin (NS)-IN,2,
Midazolam-IN,2,
VERSED,2,
Fentanyl-IN,2,
R Chest Tube,2,
Volume (mL)-potassium phosphate 15 mmol in dextrose 5 % 250 mL IVPB,2,
Volume (mL)-albumin human 5 % injection,2,
Chest tube,2,
Volume (mL)-magnesium sulfate in dextrose premix 2 g,2,
PO liqs,2,
CL Flush: Introducer sheath IJ R 8 FR,2,
PO reg diet,2,
Volume (mL)-lactated ringers bolus 500 mL,2,
"Volume (mL)-levETIRAcetam (KepPRA) 1,000 mg in sodium chloride 0.9 % 100 mL IVPB",2,
vancomycin,2,
"Volume (mL)-dextrose 5 % 1,000 mL with sodium bicarbonate 100 mEq infusion",2,
Gastric Tube Output: Orogastric Oral 16,2,
JP drain,2,
Paracentesis Output,2,
Generic,2,
Gastric Tube Output: Percutaneous endo gastrostomy,2,
Amicar,2,
"Surgical Drain, Tube Output: Closed system Abdomen",2,
% Nutrition Supplement Taken,2,
drainage total,2,
"Volume (mL)-vancomycin (VANCOCIN) 1,500 mg in sodium chloride 0.9 % 250 mL IVPB",2,
